Index	e_above_hull	Sn_fraction
a-143	0.030867	0.666667
a-144	0.050850	0.833333
a-145	0.181660	0.800000
a-146	0.091725	0.500000
a-147	0.053233	0.500000
a-148	0.037301	0.111111
a-149	0.240225	0.500000
a-150	0.006785	0.185185
a-151	0.056225	0.750000
a-152	0.104067	0.666667
a-153	0.037600	0.500000
a-154	0.095575	0.750000
a-155	0.061991	0.413793
a-156	0.013150	0.750000
gen-1-0	0.063663	0.400000
gen-1-1	0.072778	0.555556
gen-1-2	0.056800	0.500000
gen-1-3	0.022900	0.545455
gen-1-4	0.029333	0.500000
gen-1-5	0.042637	0.266667
gen-1-6	0.106405	0.500000
gen-1-7	0.034983	0.583333
gen-1-8	0.068357	0.444444
gen-1-9	0.000050	0.500000
gen-1-10	0.050722	0.333333
gen-1-11	0.026400	0.562500
gen-1-12	0.078148	0.250000
gen-1-13	0.035727	0.200000
gen-1-14	0.045282	0.150000
gen-1-15	0.035207	0.125000
gen-1-16	0.017807	0.125000
gen-1-17	0.058049	0.166667
gen-1-18	0.044019	0.625000
gen-1-19	0.094930	0.277778
gen-1-20	0.000020	0.500000
gen-1-21	0.101988	0.500000
gen-1-22	0.036550	0.714286
gen-1-23	0.018171	0.266667
gen-1-24	0.057719	0.125000
gen-1-25	0.047011	0.333333
gen-1-26	0.044975	0.750000
gen-1-27	0.052660	0.600000
gen-1-28	0.040367	0.300000
gen-1-29	0.030038	0.500000
gen-1-30	0.015113	0.400000
gen-1-31	0.044792	0.300000
gen-1-32	0.044612	0.450000
gen-1-33	0.067736	0.636364
gen-1-34	0.067344	0.416667
gen-1-35	0.022370	0.800000
gen-1-36	0.032673	0.400000
gen-1-37	0.040656	0.333333
gen-1-38	0.017338	0.125000
gen-1-39	0.035145	0.350000
gen-1-40	0.027733	0.454545
gen-1-41	0.013769	0.444444
gen-1-42	0.059597	0.300000
gen-1-43	0.032975	0.750000
gen-1-44	0.047433	0.611111
gen-1-45	0.089940	0.700000
gen-1-46	0.024161	0.666667
gen-1-47	0.040417	0.555556
gen-1-48	0.038265	0.550000
gen-1-49	0.055014	0.500000
gen-1-50	0.057933	0.666667
gen-1-51	0.034388	0.500000
gen-1-52	0.064493	0.571429
gen-1-53	0.199620	0.500000
gen-1-54	0.022023	0.384615
gen-1-55	0.054011	0.555556
gen-1-56	0.053535	0.277778
gen-1-57	0.105722	0.666667
gen-1-58	0.016673	0.400000
gen-1-59	0.058917	0.833333
gen-1-60	0.049333	0.555556
gen-1-61	0.073456	0.333333
gen-1-62	0.046493	0.400000
gen-1-63	0.035755	0.352941
gen-1-64	0.014683	0.214286
gen-1-65	0.069670	0.650000
gen-1-66	0.131385	0.142857
gen-1-67	0.066039	0.333333
gen-1-68	0.041742	0.375000
gen-1-69	0.000000	0.000000
gen-1-70	0.045070	0.800000
gen-1-71	0.023900	0.666667
gen-1-72	0.133146	0.277778
gen-1-73	0.043092	0.750000
gen-1-74	0.083613	0.312500
gen-1-75	0.029442	0.450000
gen-1-76	0.000025	0.500000
gen-1-77	0.030077	0.437500
gen-1-78	0.069925	0.312500
gen-1-79	0.015320	0.533333
gen-1-80	0.072589	0.333333
gen-1-81	0.042931	0.812500
gen-1-82	0.066813	0.500000
gen-1-83	0.016613	0.400000
gen-1-84	0.040297	0.300000
gen-1-85	0.064757	0.125000
gen-1-86	0.075944	0.333333
gen-1-87	0.066301	0.187500
gen-1-88	0.056598	0.473684
gen-1-89	0.068177	0.315789
gen-1-90	0.036283	0.666667
gen-1-91	0.076650	0.611111
gen-1-92	0.072772	0.666667
gen-1-93	0.033273	0.666667
gen-1-94	0.028317	0.833333
gen-1-95	0.017595	0.500000
gen-1-96	0.033546	0.100000
gen-1-97	0.007922	0.000000
gen-1-98	0.060810	0.700000
gen-1-99	0.046131	0.428571
gen-1-100	0.090753	0.416667
gen-1-101	0.048050	0.500000
gen-1-102	0.128039	0.272727
gen-1-103	0.034662	0.357143
gen-1-104	0.084075	0.500000
gen-1-105	0.075975	0.500000
gen-1-106	0.046781	0.250000
gen-1-107	0.143288	0.312500
gen-1-108	0.062457	0.714286
gen-1-109	0.021242	0.666667
gen-1-110	0.097917	0.266667
gen-1-111	0.030631	0.388889
gen-1-112	0.078046	0.538462
gen-1-113	0.109683	0.500000
gen-1-114	0.072445	0.545455
gen-1-115	0.069877	0.538462
gen-1-116	0.049162	0.538462
gen-1-117	0.056872	0.777778
gen-1-118	0.088454	0.384615
gen-1-119	0.305556	0.333333
gen-1-120	0.052160	0.500000
gen-1-121	0.076904	0.388889
gen-1-122	0.077197	0.300000
gen-1-123	0.000156	0.250000
gen-1-124	0.149875	0.500000
gen-1-125	0.072400	0.600000
gen-1-126	0.031961	0.416667
gen-1-127	0.067204	0.466667
gen-1-128	0.073893	0.200000
gen-1-129	0.062313	0.200000
gen-1-130	0.129250	0.600000
gen-1-131	0.081640	0.800000
gen-1-132	0.044145	0.363636
gen-1-133	0.024090	0.166667
gen-1-134	0.000011	0.222222
