# Trajectory file	Diffusivity (cm^2/s)	Error-bar diffusivity (cm^2/s)
2-157	1.996e-06	1.400e-08
1-109	1.568e-10	3.795e-11
1-142	4.079e-06	1.454e-08
1-158	1.281e-06	8.489e-09
1-181	7.563e-11	7.393e-11
1-10	8.333e-10	8.933e-11
1-149	1.667e-17	1.813e-10
2-79	2.346e-07	2.580e-09
2-113	8.962e-08	9.238e-10
2-195	2.460e-08	4.860e-10
1-1	1.598e-08	3.679e-10
2-0	2.186e-06	1.987e-08
1-15	1.683e-07	9.989e-10
2-119	2.397e-07	1.603e-09
2-169	1.211e-09	2.059e-10
1-34	5.712e-07	2.219e-09
2-162	7.246e-10	2.180e-10
2-21	2.371e-06	1.495e-08
1-3	5.142e-07	6.399e-09
2-136	1.010e-09	1.654e-10
2-9	3.559e-06	2.609e-08
1-19	1.224e-10	5.114e-11
