Space_group	Count
Amm2	115
C2	20
C2/c	1
C2/m	124
Cc	2
Cm	542
Cmc2_1	6
Cmcm	10
Cmmm	16
F-43m	150
F222	1
Fm-3m	120
Fmm2	7
Fmmm	1
I-4m2	15
I4/mmm	44
I4mm	10
Imm2	15
Immm	4
P-1	183
P-3m1	17
P-4m2	2
P-6	2
P-62m	8
P-6m2	19
P1	1432
P2	4
P2/m	61
P222	1
P2_1	4
P2_1/m	68
P3m1	108
P4/m	6
P4/mbm	45
P4/mmm	650
P4/nmm	10
P4mm	246
P6/mmm	3
P6_3/mmc	1
P6_3mc	22
P6mm	1
Pbam	10
Pc	1
Pm	608
Pm-3m	13
Pmc2_1	25
Pmm2	92
Pmma	2
Pmmm	57
Pmmn	8
Pmn2_1	1
Pnma	3
R-3m	21
R3m	63
