a-0	-3.294059	-13.176236
a-1	-3.650411	-14.601643
a-10	-2.977771	-17.866626
a-100	-3.511798	-21.070789
a-101	-2.321647	-13.929880
a-102	-3.658869	-14.635474
a-103	-3.549118	-21.294708
a-104	-2.639408	-277.137852
a-105	-3.782870	-22.697217
a-106	-3.148941	-12.595765
a-107	-2.822807	-11.291230
a-108	-3.291489	-26.331914
a-109	-3.692537	-14.770150
a-11	-3.305314	-6.610627
a-110	-2.885831	-51.944954
a-111	-2.806633	-16.839801
a-112	-2.884959	-17.309756
a-113	-2.902690	-20.318830
a-114	-3.111865	-40.454246
a-115	-2.760297	-11.041187
a-116	-3.624308	-21.745848
a-117	-3.697284	-14.789137
a-118	-2.977188	-8.931564
a-119	-2.731315	-49.163674
a-12	-3.245188	-12.980752
a-120	-3.304815	-13.219261
a-121	-2.977418	-8.932254
a-122	-3.521092	-10.563275
a-123	-3.081907	-12.327630
a-124	-3.170294	-12.681176
a-125	-3.616753	-14.467011
a-126	-2.731319	-49.163736
a-127	-3.172524	-12.690095
a-128	-3.629965	-50.819505
a-129	-2.429008	-14.574049
a-13	-2.954952	-8.864855
a-130	-2.823670	-11.294678
a-131	-3.215224	-12.860896
a-132	-3.128827	-28.159441
a-133	-3.653597	-14.614386
a-134	-2.531750	-15.190501
a-135	-3.544502	-10.633507
a-136	-2.760329	-11.041317
a-137	-2.693090	-10.772359
a-138	-3.551663	-21.309980
a-139	-3.693768	-29.550143
a-14	-3.291687	-39.500248
a-140	-3.551974	-10.655921
a-141	-3.292979	-13.171917
a-142	-3.253556	-19.521336
a-143	-3.544183	-10.632548
a-144	-3.783456	-22.700738
a-145	-3.589457	-17.947286
a-146	-3.222817	-12.891267
a-147	-3.259024	-19.554145
a-148	-2.303235	-20.729113
a-149	-3.081727	-12.326907
a-15	-2.977543	-17.865255
a-150	-2.614053	-282.317728
a-151	-3.649892	-14.599569
a-152	-3.474016	-20.844094
a-153	-3.273346	-13.093383
a-154	-3.583779	-28.670230
a-155	-3.097501	-89.827518
a-156	-3.692549	-14.770195
a-16	-3.408732	-17.043659
a-17	-2.954900	-8.864701
a-18	-2.981945	-8.945835
a-19	-3.495500	-20.973000
a-2	-2.923549	-17.541297
a-20	-2.714239	-10.856957
a-21	-3.222527	-19.335162
a-22	-2.861720	-17.170323
a-23	-3.236537	-12.946147
a-24	-2.982710	-8.948129
a-25	-2.884918	-17.309510
a-26	-3.783355	-22.700130
a-27	-3.692948	-88.630757
a-28	-2.922770	-58.455401
a-29	-3.533375	-21.200250
a-3	-2.639445	-277.141729
a-30	-3.222933	-12.891730
a-31	-3.696631	-14.786523
a-32	-3.626946	-14.507785
a-33	-2.711702	-8.135107
a-34	-2.541859	-15.251156
a-35	-2.819618	-8.458855
a-36	-3.303868	-19.823206
a-37	-3.304418	-33.044181
a-38	-3.537288	-10.611863
a-39	-2.965101	-17.790604
a-4	-2.822962	-11.291850
a-40	-2.693918	-10.775670
a-41	-3.546899	-42.562792
a-42	-3.663615	-14.654462
a-43	-3.301670	-13.206680
a-44	-2.823174	-11.292697
a-45	-2.954859	-8.864577
a-46	-3.631216	-14.524865
a-47	-2.760298	-11.041193
