Index	e_above_hull	formation_energy	Li_fraction	Ga_fraction	Sn_fraction
mp-0	0.221329	0.221329	0.000000	0.000000	1.000000
mp-1	0.003011	-0.219502	0.250000	0.750000	0.000000
mp-2	0.221580	0.221580	0.000000	0.000000	1.000000
mp-3	0.037967	0.037967	0.000000	1.000000	0.000000
mp-4	0.054503	-0.350756	0.777778	0.000000	0.222222
mp-5	0.072527	0.071678	0.000000	0.250000	0.750000
mp-6	0.013862	0.013862	1.000000	0.000000	0.000000
mp-7	0.000000	-0.252704	0.300000	0.700000	0.000000
mp-8	0.029814	-0.180693	0.250000	0.000000	0.750000
mp-9	0.209685	0.209685	0.000000	0.000000	1.000000
mp-10	0.024686	-0.300176	0.666667	0.333333	0.000000
mp-11	0.015720	0.015720	0.000000	1.000000	0.000000
mp-12	0.084859	0.084011	0.000000	0.250000	0.750000
mp-13	0.013658	0.013658	1.000000	0.000000	0.000000
mp-14	0.043543	-0.210833	0.750000	0.250000	0.000000
mp-15	0.073431	-0.347584	0.500000	0.000000	0.500000
mp-16	0.061665	-0.285935	0.814815	0.000000	0.185185
mp-17	0.156660	0.156660	0.000000	0.000000	1.000000
mp-18	0.043992	-0.210384	0.750000	0.250000	0.000000
mp-19	0.161277	0.161277	0.000000	0.000000	1.000000
mp-20	0.000772	0.000772	0.000000	1.000000	0.000000
mp-21	0.013493	0.013493	1.000000	0.000000	0.000000
mp-22	0.050651	0.048106	0.000000	0.750000	0.250000
mp-23	0.000000	0.000000	1.000000	0.000000	0.000000
mp-24	0.029844	-0.325864	0.600000	0.400000	0.000000
mp-25	0.071687	-0.349328	0.500000	0.000000	0.500000
mp-26	0.000000	0.000000	0.000000	0.000000	1.000000
mp-27	0.031435	-0.166355	0.222222	0.777778	0.000000
mp-28	0.020960	0.020960	0.000000	1.000000	0.000000
mp-29	0.086642	0.085794	0.000000	0.250000	0.750000
mp-30	0.248588	0.248588	1.000000	0.000000	0.000000
mp-31	0.039561	-0.117507	0.176471	0.823529	0.000000
mp-32	0.048941	-0.379553	0.700000	0.000000	0.300000
mp-33	0.052048	-0.305483	0.809524	0.000000	0.190476
mp-34	0.152306	0.152306	0.000000	0.000000	1.000000
mp-35	0.179233	-0.090670	0.333333	0.666667	0.000000
mp-36	0.009660	0.009660	0.000000	1.000000	0.000000
mp-37	0.018593	0.018593	0.000000	1.000000	0.000000
mp-38	0.017993	0.017993	1.000000	0.000000	0.000000
mp-39	1.085020	0.699161	0.500000	0.250000	0.250000
mp-40	0.055853	0.055853	1.000000	0.000000	0.000000
mp-41	0.052697	-0.376629	0.722222	0.000000	0.277778
mp-42	0.000000	-0.222513	0.250000	0.750000	0.000000
mp-43	0.150204	0.150204	0.000000	0.000000	1.000000
mp-44	0.039783	0.039783	0.000000	1.000000	0.000000
mp-45	0.014063	0.011518	0.000000	0.750000	0.250000
mp-46	0.007863	0.007863	1.000000	0.000000	0.000000
mp-47	0.025318	-0.328166	0.555556	0.444444	0.000000
mp-48	0.022955	-0.217625	0.285714	0.000000	0.714286
mp-49	0.046275	-0.379123	0.750000	0.000000	0.250000
mp-50	0.046006	0.046006	0.000000	0.000000	1.000000
mp-51	0.019064	-0.331640	0.500000	0.500000	0.000000
mp-52	0.026856	0.026856	0.000000	1.000000	0.000000
mp-53	0.021013	0.018468	0.000000	0.750000	0.250000
mp-54	0.012504	0.012504	1.000000	0.000000	0.000000
mp-55	0.007921	-0.214592	0.250000	0.750000	0.000000
mp-56	0.056765	-0.372264	0.714286	0.000000	0.285714
O-0	0.000000	-0.348823	0.333333	0.333333	0.333333
O-1	0.003675	-0.278964	0.722222	0.277778	0.000000
O-2	0.000000	-0.355708	0.600000	0.400000	0.000000
O-3	0.001034	-0.189747	0.812500	0.187500	0.000000
O-4	0.006084	-0.271417	0.727273	0.272727	0.000000
O-5	0.044314	-0.376701	0.500000	0.000000	0.500000
O-6	0.027977	-0.226399	0.750000	0.250000	0.000000
O-7	0.000000	-0.290715	0.714286	0.285714	0.000000
