Index	e_above_hull	formation_energy	Li_fraction	Ga_fraction	Sn_fraction
mp-0	0.223250	0.223250	0.000000	0.000000	1.000000
mp-1	0.002834	-0.220070	0.250000	0.750000	0.000000
mp-2	0.225914	0.225914	0.000000	0.000000	1.000000
mp-3	0.038363	0.038363	0.000000	1.000000	0.000000
mp-4	0.080461	-0.355735	0.777778	0.000000	0.222222
mp-5	0.086967	0.086967	0.000000	0.250000	0.750000
mp-6	0.010714	0.010714	1.000000	0.000000	0.000000
mp-7	0.000000	-0.258320	0.300000	0.700000	0.000000
mp-8	0.039643	-0.170618	0.250000	0.000000	0.750000
mp-9	0.220699	0.220699	0.000000	0.000000	1.000000
mp-10	0.049676	-0.309111	0.666667	0.333333	0.000000
mp-11	0.019838	0.019838	0.000000	1.000000	0.000000
mp-12	0.095361	0.095361	0.000000	0.250000	0.750000
mp-13	0.010587	0.010587	1.000000	0.000000	0.000000
mp-14	0.068565	-0.218150	0.750000	0.250000	0.000000
mp-15	0.074543	-0.345978	0.500000	0.000000	0.500000
mp-16	0.071481	-0.292016	0.814815	0.000000	0.185185
mp-17	0.176132	0.176132	0.000000	0.000000	1.000000
mp-18	0.068822	-0.217893	0.750000	0.250000	0.000000
mp-19	0.180495	0.180495	0.000000	0.000000	1.000000
mp-20	0.003461	0.003461	0.000000	1.000000	0.000000
mp-21	0.010531	0.010531	1.000000	0.000000	0.000000
mp-22	0.048367	0.048367	0.000000	0.750000	0.250000
mp-23	0.000000	0.000000	1.000000	0.000000	0.000000
mp-24	0.055330	-0.335270	0.600000	0.400000	0.000000
mp-25	0.072555	-0.347966	0.500000	0.000000	0.500000
mp-26	0.000000	0.000000	0.000000	0.000000	1.000000
mp-27	0.026003	-0.172134	0.222222	0.777778	0.000000
mp-28	0.020736	0.020736	0.000000	1.000000	0.000000
mp-29	0.095662	0.095662	0.000000	0.250000	0.750000
mp-30	0.235816	0.235816	1.000000	0.000000	0.000000
mp-31	0.033770	-0.123574	0.176471	0.823529	0.000000
mp-32	0.074880	-0.381151	0.700000	0.000000	0.300000
mp-33	0.062789	-0.311094	0.809524	0.000000	0.190476
mp-34	0.164337	0.164337	0.000000	0.000000	1.000000
mp-35	0.178385	-0.100991	0.333333	0.666667	0.000000
mp-36	0.012015	0.012015	0.000000	1.000000	0.000000
mp-37	0.020847	0.020847	0.000000	1.000000	0.000000
mp-38	0.015143	0.015143	1.000000	0.000000	0.000000
mp-39	1.134708	0.723445	0.500000	0.250000	0.250000
mp-40	0.051098	0.051098	1.000000	0.000000	0.000000
mp-41	0.081133	-0.378844	0.722222	0.000000	0.277778
mp-42	0.000000	-0.222903	0.250000	0.750000	0.000000
mp-43	0.169804	0.169804	0.000000	0.000000	1.000000
mp-44	0.038789	0.038789	0.000000	1.000000	0.000000
mp-45	0.019396	0.019396	0.000000	0.750000	0.250000
mp-46	0.005475	0.005475	1.000000	0.000000	0.000000
mp-47	0.050903	-0.337055	0.555556	0.444444	0.000000
mp-48	0.026066	-0.214232	0.285714	0.000000	0.714286
mp-49	0.074313	-0.382256	0.750000	0.000000	0.250000
mp-50	0.045324	0.045324	0.000000	0.000000	1.000000
mp-51	0.044638	-0.340019	0.500000	0.500000	0.000000
mp-52	0.027972	0.027972	0.000000	1.000000	0.000000
mp-53	0.026749	0.026749	0.000000	0.750000	0.250000
mp-54	0.009886	0.009886	1.000000	0.000000	0.000000
mp-55	0.008526	-0.214378	0.250000	0.750000	0.000000
mp-56	0.084308	-0.374259	0.714286	0.000000	0.285714
O-0	0.000000	-0.385525	0.333333	0.333333	0.333333
O-1	0.003592	-0.312083	0.722222	0.277778	0.000000
O-2	0.000000	-0.390600	0.600000	0.400000	0.000000
O-3	0.000000	-0.221556	0.812500	0.187500	0.000000
O-4	0.005947	-0.304462	0.727273	0.272727	0.000000
O-5	0.010568	-0.409953	0.500000	0.000000	0.500000
O-6	0.027601	-0.259114	0.750000	0.250000	0.000000
O-7	0.000000	-0.323949	0.714286	0.285714	0.000000
O-8	0.003378	-0.331023	0.700000	0.300000	0.000000
O-9	0.003075	-0.381582	0.500000	0.500000	0.000000
O-10	0.005154	-0.334874	0.692308	0.307692	0.000000
O-11	0.001158	-0.383499	0.500000	0.500000	0.000000
O-12	0.000000	-0.358787	0.666667	0.333333	0.000000
O-13	0.000000	-0.384657	0.500000	0.500000	0.000000
O-14	0.023258	-0.335528	0.666667	0.333333	0.000000
O-15	0.000000	-0.460873	0.727273	0.000000	0.272727
O-16	0.000000	-0.436196	0.777778	0.000000	0.222222
O-17	0.000000	-0.456568	0.750000	0.000000	0.250000
a-0	0.044535	-0.242179	0.750000	0.250000	0.000000
a-1	0.054015	-0.336585	0.600000	0.400000	0.000000
a-2	0.030392	-0.354265	0.500000	0.500000	0.000000
a-3	0.046694	-0.240021	0.750000	0.250000	0.000000
a-4	0.046756	-0.312031	0.666667	0.333333	0.000000
a-5	0.049963	-0.308824	0.666667	0.333333	0.000000
a-6	0.024041	-0.360616	0.500000	0.500000	0.000000
a-7	0.069097	-0.351424	0.500000	0.000000	0.500000
a-8	0.009343	-0.364540	0.809524	0.000000	0.190476
a-9	0.000000	-0.420521	0.500000	0.000000	0.500000
gen-1-0	0.122197	-0.294647	0.750000	0.083333	0.166667
gen-1-1	0.039349	-0.245705	0.315789	0.631579	0.052632
gen-1-2	0.088640	-0.327944	0.500000	0.200000	0.300000
gen-1-3	0.057389	-0.296242	0.750000	0.166667	0.083333
gen-1-4	0.105649	-0.314309	0.533333	0.200000	0.266667
gen-1-5	0.090284	-0.245982	0.384615	0.538462	0.076923
gen-1-6	0.095746	-0.289201	0.444444	0.444444	0.111111
gen-1-7	0.081788	-0.270405	0.400000	0.050000	0.550000
gen-1-8	0.088590	-0.298498	0.750000	0.125000	0.125000
gen-1-9	0.078060	-0.355906	0.583333	0.083333	0.333333
gen-1-10	0.061700	-0.331826	0.500000	0.416667	0.083333
gen-1-11	0.086130	-0.343766	0.571429	0.142857	0.285714
gen-1-12	0.100658	-0.345212	0.666667	0.083333	0.250000
gen-1-13	0.093985	-0.322599	0.500000	0.200000	0.300000
gen-1-14	0.083656	-0.327607	0.500000	0.250000	0.250000
gen-1-15	0.067350	-0.334225	0.700000	0.200000	0.100000
gen-1-16	0.090121	-0.289249	0.727273	0.181818	0.090909
gen-1-17	0.095309	-0.334587	0.571429	0.142857	0.285714
gen-1-18	0.093718	-0.317545	0.500000	0.250000	0.250000
gen-1-19	0.058018	-0.300535	0.416667	0.500000	0.083333
gen-1-20	0.100884	-0.326233	0.545455	0.090909	0.363636
gen-1-21	0.155281	-0.230244	0.333333	0.333333	0.333333
gen-1-22	0.038196	-0.038909	0.066667	0.800000	0.133333
gen-1-23	0.104346	-0.328538	0.666667	0.166667	0.166667
gen-1-24	0.090976	-0.323716	0.571429	0.285714	0.142857
gen-1-25	0.095681	-0.309552	0.733333	0.133333	0.133333
gen-1-26	0.067657	-0.353171	0.625000	0.250000	0.125000
gen-1-27	0.074895	-0.270607	0.375000	0.500000	0.125000
gen-1-28	0.101793	-0.307709	0.454545	0.181818	0.363636
gen-1-29	0.087660	-0.244790	0.333333	0.500000	0.166667
gen-1-30	0.082868	-0.275686	0.416667	0.500000	0.083333
gen-1-31	0.112473	-0.336674	0.692308	0.076923	0.230769
gen-1-32	0.085631	-0.328299	0.555556	0.277778	0.166667
gen-1-33	0.090722	-0.320541	0.500000	0.250000	0.250000
gen-1-34	0.052296	-0.175396	0.842105	0.105263	0.052632
gen-1-35	0.108297	-0.276881	0.400000	0.400000	0.200000
gen-1-36	0.104653	-0.280872	0.333333	0.333333	0.333333
gen-1-37	0.143627	-0.241898	0.333333	0.333333	0.333333
gen-1-38	0.130236	-0.228994	0.333333	0.250000	0.416667
gen-1-39	0.071944	-0.217454	0.300000	0.600000	0.100000
gen-1-40	0.096492	-0.288685	0.400000	0.400000	0.200000
gen-1-41	0.091568	-0.326250	0.500000	0.166667	0.333333
gen-1-42	0.079420	-0.349163	0.555556	0.111111	0.333333
gen-1-43	0.093603	-0.343051	0.600000	0.100000	0.300000
gen-1-44	0.082519	-0.318804	0.526316	0.368421	0.105263
gen-1-45	0.116132	-0.288232	0.428571	0.214286	0.357143
gen-1-46	0.072834	-0.325126	0.500000	0.375000	0.125000
gen-1-47	0.134222	-0.261598	0.400000	0.300000	0.300000
gen-1-48	0.044769	0.044769	0.000000	0.800000	0.200000
gen-1-49	0.136978	-0.213164	0.333333	0.444444	0.222222
gen-1-50	0.082266	-0.328997	0.500000	0.250000	0.250000
gen-1-51	0.076610	-0.276723	0.400000	0.500000	0.100000
gen-1-52	0.096596	-0.288433	0.428571	0.428571	0.142857
gen-1-53	0.169234	-0.216290	0.333333	0.333333	0.333333
gen-1-54	0.076665	-0.327370	0.611111	0.333333	0.055556
gen-1-55	0.061099	-0.253659	0.333333	0.555556	0.111111
gen-1-56	0.107633	-0.299421	0.444444	0.222222	0.333333
gen-1-57	0.081079	-0.251371	0.333333	0.500000	0.166667
gen-1-58	0.097647	-0.234803	0.333333	0.500000	0.166667
gen-1-59	0.075459	-0.351247	0.600000	0.200000	0.200000
gen-1-60	0.067383	-0.328340	0.526316	0.421053	0.052632
