Index	e_above_hull	formation_energy	Li_fraction	Ga_fraction	Sn_fraction
mp-0	0.242486	0.242487	0.000000	0.000000	1.000000
mp-1	0.004084	-0.206452	0.250000	0.750000	0.000000
mp-2	0.226838	0.226838	0.000000	0.000000	1.000000
mp-3	0.062488	0.062488	0.000000	1.000000	0.000000
mp-4	0.016902	-0.322533	0.777778	0.000000	0.222222
mp-5	0.012679	-0.000842	0.000000	0.250000	0.750000
mp-6	0.029808	0.029808	1.000000	0.000000	0.000000
mp-7	0.012097	-0.214529	0.300000	0.700000	0.000000
mp-8	0.000000	-0.217794	0.250000	0.000000	0.750000
mp-9	0.171360	0.171361	0.000000	0.000000	1.000000
mp-10	0.006813	-0.247064	0.666667	0.333333	0.000000
mp-11	0.015161	0.015161	0.000000	1.000000	0.000000
mp-12	0.055864	0.042344	0.000000	0.250000	0.750000
mp-13	0.029167	0.029167	1.000000	0.000000	0.000000
mp-14	0.023230	-0.167177	0.750000	0.250000	0.000000
mp-15	0.071356	-0.350165	0.500000	0.000000	0.500000
mp-16	0.057747	-0.252547	0.814815	0.000000	0.185185
mp-17	0.061182	0.061183	0.000000	0.000000	1.000000
mp-18	0.024746	-0.165662	0.750000	0.250000	0.000000
mp-19	0.068049	0.068049	0.000000	0.000000	1.000000
mp-20	0.000000	0.000000	0.000000	1.000000	0.000000
mp-21	0.028423	0.028423	1.000000	0.000000	0.000000
mp-22	0.117045	0.076483	0.000000	0.750000	0.250000
mp-23	0.000000	0.000000	1.000000	0.000000	0.000000
mp-24	0.002033	-0.269357	0.600000	0.400000	0.000000
mp-25	0.068503	-0.353018	0.500000	0.000000	0.500000
mp-26	0.000000	0.000000	0.000000	0.000000	1.000000
mp-27	0.061529	-0.126122	0.222222	0.777778	0.000000
mp-28	0.035454	0.035454	0.000000	1.000000	0.000000
mp-29	0.067425	0.053905	0.000000	0.250000	0.750000
mp-30	0.336296	0.336296	1.000000	0.000000	0.000000
mp-31	0.075755	-0.073809	0.176471	0.823529	0.000000
mp-32	0.000637	-0.369409	0.700000	0.000000	0.300000
mp-33	0.044541	-0.274618	0.809524	0.000000	0.190476
mp-34	0.098675	0.098675	0.000000	0.000000	1.000000
mp-35	0.227459	-0.009893	0.333333	0.666667	0.000000
mp-36	0.018958	0.018958	0.000000	1.000000	0.000000
mp-37	0.020537	0.020537	0.000000	1.000000	0.000000
mp-38	0.035217	0.035217	1.000000	0.000000	0.000000
mp-39	0.952692	0.596439	0.500000	0.250000	0.250000
mp-40	0.085728	0.085728	1.000000	0.000000	0.000000
mp-41	0.002657	-0.361670	0.722222	0.000000	0.277778
mp-42	0.000000	-0.210535	0.250000	0.750000	0.000000
mp-43	0.050221	0.050222	0.000000	0.000000	1.000000
mp-44	0.070183	0.070183	0.000000	1.000000	0.000000
mp-45	0.021820	-0.018742	0.000000	0.750000	0.250000
mp-46	0.020192	0.020192	1.000000	0.000000	0.000000
mp-47	0.005979	-0.274121	0.555556	0.444444	0.000000
mp-48	0.012215	-0.234683	0.285714	0.000000	0.714286
mp-49	0.000000	-0.357177	0.750000	0.000000	0.250000
mp-50	0.049482	0.049482	0.000000	0.000000	1.000000
mp-51	0.011088	-0.279898	0.500000	0.500000	0.000000
mp-52	0.043565	0.043565	0.000000	1.000000	0.000000
mp-53	0.029105	-0.011457	0.000000	0.750000	0.250000
mp-54	0.025621	0.025621	1.000000	0.000000	0.000000
mp-55	0.005157	-0.205378	0.250000	0.750000	0.000000
mp-56	0.006344	-0.360025	0.714286	0.000000	0.285714
O-0	0.224544	-0.066110	0.333333	0.333333	0.333333
O-1	0.195486	-0.016078	0.722222	0.277778	0.000000
O-2	0.189497	-0.081893	0.600000	0.400000	0.000000
O-3	0.207873	0.065068	0.812500	0.187500	0.000000
O-4	0.198736	-0.008982	0.727273	0.272727	0.000000
O-5	0.305160	-0.116361	0.500000	0.000000	0.500000
O-6	0.224412	0.034004	0.750000	0.250000	0.000000
O-7	0.190490	-0.027119	0.714286	0.285714	0.000000
O-8	0.195781	-0.032708	0.700000	0.300000	0.000000
O-9	0.228503	-0.062483	0.500000	0.500000	0.000000
O-10	0.198588	-0.035760	0.692308	0.307692	0.000000
O-11	0.226586	-0.064400	0.500000	0.500000	0.000000
