Index	e_above_hull	formation_energy	Li_fraction	Ga_fraction	Sn_fraction
gen-1-17	0.041600	-0.329095	0.571429	0.142857	0.285714
gen-1-18	0.062026	-0.300309	0.500000	0.250000	0.250000
gen-1-19	0.019316	-0.273540	0.416667	0.500000	0.083333
gen-1-20	0.074374	-0.314797	0.545455	0.090909	0.363636
gen-1-21	0.073430	-0.215538	0.333333	0.333333	0.333333
gen-1-22	0.016383	-0.058316	0.066667	0.800000	0.133333
gen-1-23	0.048827	-0.293568	0.666667	0.166667	0.166667
gen-1-24	0.043791	-0.293092	0.571429	0.285714	0.142857
gen-1-25	0.038033	-0.278578	0.733333	0.133333	0.133333
gen-1-26	0.012949	-0.319638	0.625000	0.250000	0.125000
gen-1-27	0.034252	-0.253449	0.375000	0.500000	0.125000
gen-1-28	0.063619	-0.309230	0.454545	0.181818	0.363636
gen-1-29	0.054217	-0.228330	0.333333	0.500000	0.166667
gen-1-30	0.043222	-0.249634	0.416667	0.500000	0.083333
gen-1-31	0.043138	-0.314395	0.692308	0.076923	0.230769
gen-1-32	0.037417	-0.305122	0.555556	0.277778	0.166667
gen-1-33	0.050345	-0.311990	0.500000	0.250000	0.250000
gen-1-34	0.032208	-0.141526	0.842105	0.105263	0.052632
gen-1-35	0.045223	-0.269239	0.400000	0.400000	0.200000
gen-1-36	0.041401	-0.247566	0.333333	0.333333	0.333333
gen-1-37	0.071648	-0.217320	0.333333	0.333333	0.333333
gen-1-38	0.061101	-0.231077	0.333333	0.250000	0.416667
gen-1-39	0.064813	-0.189942	0.300000	0.600000	0.100000
gen-1-40	0.031740	-0.282722	0.400000	0.400000	0.200000
gen-1-41	0.060988	-0.321070	0.500000	0.166667	0.333333
gen-1-42	0.037157	-0.344829	0.555556	0.111111	0.333333
gen-1-43	0.038541	-0.335498	0.600000	0.100000	0.300000
gen-1-44	0.040133	-0.287911	0.526316	0.368421	0.105263
gen-1-45	0.062822	-0.299130	0.428571	0.214286	0.357143
gen-1-46	0.039858	-0.292892	0.500000	0.375000	0.125000
gen-1-47	0.094022	-0.244107	0.400000	0.300000	0.300000
gen-1-48	0.074351	0.047530	0.000000	0.800000	0.200000
gen-1-49	0.081687	-0.203000	0.333333	0.444444	0.222222
gen-1-50	0.046087	-0.316248	0.500000	0.250000	0.250000
gen-1-51	0.035395	-0.255399	0.400000	0.500000	0.100000
gen-1-52	0.041713	-0.269521	0.428571	0.428571	0.142857
gen-1-53	0.089168	-0.199800	0.333333	0.333333	0.333333
gen-1-54	0.022166	-0.284062	0.611111	0.333333	0.055556
gen-1-55	0.036402	-0.232995	0.333333	0.555556	0.111111
gen-1-56	0.064420	-0.297617	0.444444	0.222222	0.333333
gen-1-57	0.043012	-0.239534	0.333333	0.500000	0.166667
gen-1-58	0.091114	-0.191432	0.333333	0.500000	0.166667
gen-1-59	0.021461	-0.328910	0.600000	0.200000	0.200000
gen-1-60	0.024789	-0.290799	0.526316	0.421053	0.052632
gen-1-61	0.034688	-0.289934	0.545455	0.363636	0.090909
gen-1-62	0.021199	-0.340973	0.625000	0.125000	0.250000
gen-1-63	0.028186	-0.310192	0.727273	0.090909	0.181818
gen-1-64	0.028091	-0.317929	0.636364	0.181818	0.181818
gen-1-65	0.064771	-0.265046	0.454545	0.363636	0.181818
gen-1-66	0.027967	-0.327576	0.666667	0.111111	0.222222
gen-1-67	0.008601	-0.333794	0.666667	0.166667	0.166667
gen-1-68	0.024675	-0.271376	0.333333	0.111111	0.555556
gen-1-69	0.065058	-0.285313	0.600000	0.200000	0.200000
gen-1-70	0.008268	-0.204800	0.250000	0.750000	0.000000
gen-1-71	0.045213	-0.297182	0.666667	0.166667	0.166667
gen-1-72	0.020996	-0.301784	0.583333	0.333333	0.083333
gen-1-73	0.038229	-0.312142	0.600000	0.200000	0.200000
gen-1-74	0.047400	-0.294995	0.666667	0.166667	0.166667
gen-1-75	0.050688	-0.291852	0.555556	0.277778	0.166667
gen-1-76	0.065228	-0.336554	0.500000	0.083333	0.416667
gen-1-77	0.032096	-0.310516	0.500000	0.333333	0.166667
gen-1-78	0.073482	-0.149217	0.250000	0.500000	0.250000
gen-1-79	0.045917	-0.316418	0.500000	0.250000	0.250000
gen-1-80	0.024443	-0.308307	0.500000	0.375000	0.125000
gen-1-81	0.056949	-0.334971	0.500000	0.125000	0.375000
gen-1-82	0.024405	-0.298483	0.500000	0.416667	0.083333
gen-1-83	0.016594	-0.345524	0.666667	0.083333	0.250000
gen-1-84	0.014891	-0.268252	0.444444	0.555556	0.000000
gen-1-85	0.030191	-0.306600	0.642857	0.214286	0.142857
gen-1-86	0.047887	-0.296429	0.450000	0.300000	0.250000
gen-1-87	0.047180	-0.303126	0.650000	0.150000	0.200000
gen-1-88	0.040469	-0.321757	0.583333	0.166667	0.250000
gen-1-89	0.044412	-0.306089	0.500000	0.300000	0.200000
gen-1-90	0.073832	-0.318088	0.500000	0.125000	0.375000
gen-1-91	0.041562	-0.281327	0.500000	0.416667	0.083333
gen-1-92	0.044607	-0.329497	0.550000	0.150000	0.300000
gen-1-93	0.046501	-0.339372	0.600000	0.050000	0.350000
gen-1-94	0.067336	-0.294999	0.500000	0.250000	0.250000
gen-1-95	0.036614	-0.332151	0.611111	0.111111	0.277778
gen-1-96	0.078776	-0.266528	0.400000	0.100000	0.500000
gen-1-97	0.057552	-0.231416	0.333333	0.333333	0.333333
gen-1-98	0.034267	-0.292566	0.500000	0.400000	0.100000
gen-1-99	0.051297	-0.322582	0.437500	0.062500	0.500000
gen-1-100	0.074074	-0.112717	0.200000	0.500000	0.300000
gen-1-101	0.043903	-0.318432	0.500000	0.250000	0.250000
gen-1-102	0.056573	-0.325485	0.500000	0.166667	0.333333
gen-1-103	0.046758	-0.303743	0.500000	0.300000	0.200000
gen-1-104	0.015602	-0.342031	0.615385	0.153846	0.230769
gen-1-105	0.030381	-0.284081	0.400000	0.400000	0.200000
gen-1-106	0.033417	-0.309194	0.500000	0.333333	0.166667
gen-1-107	0.048722	-0.313613	0.500000	0.250000	0.250000
gen-1-108	0.035654	-0.239425	0.750000	0.166667	0.083333
gen-1-109	0.025411	-0.307339	0.500000	0.375000	0.125000
