Index	e_above_hull	formation_energy	Li_fraction	Ga_fraction	Sn_fraction
mp-0	0.229400	0.229400	0.000000	0.000000	1.000000
mp-1	0.003641	-0.211953	0.250000	0.750000	0.000000
mp-2	0.220669	0.220669	0.000000	0.000000	1.000000
mp-3	0.050345	0.050345	0.000000	1.000000	0.000000
mp-4	0.017667	-0.334110	0.777778	0.000000	0.222222
mp-5	0.036625	0.027859	0.000000	0.250000	0.750000
mp-6	0.023417	0.023417	1.000000	0.000000	0.000000
mp-7	0.005437	-0.230099	0.300000	0.700000	0.000000
mp-8	0.005684	-0.205048	0.250000	0.000000	0.750000
mp-9	0.184103	0.184103	0.000000	0.000000	1.000000
mp-10	0.005474	-0.268718	0.666667	0.333333	0.000000
mp-11	0.013989	0.013989	0.000000	1.000000	0.000000
mp-12	0.065843	0.057077	0.000000	0.250000	0.750000
mp-13	0.022954	0.022954	1.000000	0.000000	0.000000
mp-14	0.021712	-0.185001	0.750000	0.250000	0.000000
mp-15	0.071532	-0.349933	0.500000	0.000000	0.500000
mp-16	0.059335	-0.266118	0.814815	0.000000	0.185185
mp-17	0.098943	0.098943	0.000000	0.000000	1.000000
mp-18	0.022793	-0.183920	0.750000	0.250000	0.000000
mp-19	0.104768	0.104768	0.000000	0.000000	1.000000
mp-20	0.000000	0.000000	0.000000	1.000000	0.000000
mp-21	0.022444	0.022444	1.000000	0.000000	0.000000
mp-22	0.088198	0.061901	0.000000	0.750000	0.250000
mp-23	0.000000	0.000000	1.000000	0.000000	0.000000
mp-24	0.001798	-0.292404	0.600000	0.400000	0.000000
mp-25	0.069477	-0.351989	0.500000	0.000000	0.500000
mp-26	0.000000	0.000000	0.000000	0.000000	1.000000
mp-27	0.049072	-0.142567	0.222222	0.777778	0.000000
mp-28	0.029299	0.029299	0.000000	1.000000	0.000000
mp-29	0.073149	0.064383	0.000000	0.250000	0.750000
mp-30	0.297943	0.297943	1.000000	0.000000	0.000000
mp-31	0.060314	-0.091870	0.176471	0.823529	0.000000
mp-32	0.004011	-0.373623	0.700000	0.000000	0.300000
mp-33	0.047583	-0.287168	0.809524	0.000000	0.190476
mp-34	0.119047	0.119047	0.000000	0.000000	1.000000
mp-35	0.203560	-0.045271	0.333333	0.666667	0.000000
mp-36	0.013693	0.013693	0.000000	1.000000	0.000000
mp-37	0.019413	0.019413	0.000000	1.000000	0.000000
mp-38	0.027924	0.027924	1.000000	0.000000	0.000000
mp-39	1.003516	0.635132	0.500000	0.250000	0.250000
mp-40	0.072990	0.072990	1.000000	0.000000	0.000000
mp-41	0.004715	-0.368048	0.722222	0.000000	0.277778
mp-42	0.000000	-0.215594	0.250000	0.750000	0.000000
mp-43	0.090350	0.090350	0.000000	0.000000	1.000000
mp-44	0.055866	0.055866	0.000000	1.000000	0.000000
mp-45	0.019437	-0.006860	0.000000	0.750000	0.250000
mp-46	0.015233	0.015233	1.000000	0.000000	0.000000
mp-47	0.007417	-0.296163	0.555556	0.444444	0.000000
mp-48	0.012958	-0.227879	0.285714	0.000000	0.714286
mp-49	0.000000	-0.366675	0.750000	0.000000	0.250000
mp-50	0.048087	0.048087	0.000000	0.000000	1.000000
mp-51	0.014301	-0.301002	0.500000	0.500000	0.000000
mp-52	0.035171	0.035171	0.000000	1.000000	0.000000
mp-53	0.026240	-0.000057	0.000000	0.750000	0.250000
mp-54	0.020373	0.020373	1.000000	0.000000	0.000000
