Index	e_above_hull	formation_energy	Li_fraction	Ga_fraction	Sn_fraction
mp-0	0.224891	0.224891	0.000000	0.000000	1.000000
mp-1	0.003424	-0.214689	0.250000	0.750000	0.000000
mp-2	0.219375	0.219375	0.000000	0.000000	1.000000
mp-3	0.045159	0.045159	0.000000	1.000000	0.000000
mp-4	0.017961	-0.339798	0.777778	0.000000	0.222222
mp-5	0.048607	0.042325	0.000000	0.250000	0.750000
mp-6	0.020226	0.020226	1.000000	0.000000	0.000000
mp-7	0.002107	-0.237859	0.300000	0.700000	0.000000
mp-8	0.012953	-0.197743	0.250000	0.000000	0.750000
mp-9	0.191621	0.191621	0.000000	0.000000	1.000000
mp-10	0.004812	-0.279451	0.666667	0.333333	0.000000
mp-11	0.013878	0.013878	0.000000	1.000000	0.000000
mp-12	0.071550	0.065268	0.000000	0.250000	0.750000
mp-13	0.019851	0.019851	1.000000	0.000000	0.000000
mp-14	0.021722	-0.193824	0.750000	0.250000	0.000000
mp-15	0.071924	-0.349467	0.500000	0.000000	0.500000
mp-16	0.060122	-0.272837	0.814815	0.000000	0.185185
mp-17	0.118030	0.118030	0.000000	0.000000	1.000000
mp-18	0.022588	-0.192958	0.750000	0.250000	0.000000
mp-19	0.123395	0.123395	0.000000	0.000000	1.000000
mp-20	0.000000	0.000000	0.000000	1.000000	0.000000
mp-21	0.019457	0.019457	1.000000	0.000000	0.000000
mp-22	0.074773	0.055925	0.000000	0.750000	0.250000
mp-23	0.000000	0.000000	1.000000	0.000000	0.000000
mp-24	0.001680	-0.303829	0.600000	0.400000	0.000000
mp-25	0.070111	-0.351280	0.500000	0.000000	0.500000
mp-26	0.000000	0.000000	0.000000	0.000000	1.000000
mp-27	0.043125	-0.150753	0.222222	0.777778	0.000000
mp-28	0.026236	0.026236	0.000000	1.000000	0.000000
mp-29	0.076879	0.070596	0.000000	0.250000	0.750000
mp-30	0.280166	0.280166	1.000000	0.000000	0.000000
mp-31	0.053193	-0.100769	0.176471	0.823529	0.000000
mp-32	0.005505	-0.375681	0.700000	0.000000	0.300000
mp-33	0.049091	-0.293380	0.809524	0.000000	0.190476
mp-34	0.129720	0.129720	0.000000	0.000000	1.000000
mp-35	0.192802	-0.061732	0.333333	0.666667	0.000000
mp-36	0.011601	0.011601	0.000000	1.000000	0.000000
mp-37	0.018862	0.018862	0.000000	1.000000	0.000000
mp-38	0.024450	0.024450	1.000000	0.000000	0.000000
mp-39	1.029880	0.655495	0.500000	0.250000	0.250000
mp-40	0.066952	0.066952	1.000000	0.000000	0.000000
mp-41	0.005632	-0.371087	0.722222	0.000000	0.277778
mp-42	0.000000	-0.218113	0.250000	0.750000	0.000000
mp-43	0.110373	0.110373	0.000000	0.000000	1.000000
mp-44	0.049512	0.049512	0.000000	1.000000	0.000000
mp-45	0.017929	-0.000919	0.000000	0.750000	0.250000
mp-46	0.012762	0.012762	1.000000	0.000000	0.000000
mp-47	0.008132	-0.307096	0.555556	0.444444	0.000000
mp-48	0.016331	-0.224464	0.285714	0.000000	0.714286
mp-49	0.000000	-0.371135	0.750000	0.000000	0.250000
mp-50	0.047391	0.047391	0.000000	0.000000	1.000000
mp-51	0.015900	-0.311477	0.500000	0.500000	0.000000
mp-52	0.031586	0.031586	0.000000	1.000000	0.000000
mp-53	0.024644	0.005796	0.000000	0.750000	0.250000
mp-54	0.017750	0.017750	1.000000	0.000000	0.000000
mp-55	0.006781	-0.211332	0.250000	0.750000	0.000000
mp-56	0.010752	-0.367563	0.714286	0.000000	0.285714
O-0	0.036011	-0.250753	0.333333	0.333333	0.333333
O-1	0.049755	-0.188697	0.722222	0.277778	0.000000
O-2	0.044340	-0.261168	0.600000	0.400000	0.000000
O-3	0.059024	-0.102635	0.812500	0.187500	0.000000
O-4	0.052961	-0.181326	0.727273	0.272727	0.000000
O-5	0.134041	-0.287350	0.500000	0.000000	0.500000
O-6	0.078444	-0.137102	0.750000	0.250000	0.000000
O-7	0.044826	-0.200170	0.714286	0.285714	0.000000
O-8	0.050238	-0.206538	0.700000	0.300000	0.000000
O-9	0.080173	-0.247204	0.500000	0.500000	0.000000
O-10	0.053110	-0.210008	0.692308	0.307692	0.000000
O-11	0.078256	-0.249121	0.500000	0.500000	0.000000
O-12	0.051609	-0.232653	0.666667	0.333333	0.000000
O-13	0.077098	-0.250279	0.500000	0.500000	0.000000
O-14	0.074868	-0.209395	0.666667	0.333333	0.000000
O-15	0.031544	-0.344160	0.727273	0.000000	0.272727
O-16	0.036967	-0.320792	0.777778	0.000000	0.222222
O-17	0.030691	-0.340444	0.750000	0.000000	0.250000
a-0	0.000831	-0.214716	0.750000	0.250000	0.000000
a-1	0.000000	-0.305509	0.600000	0.400000	0.000000
a-2	0.006372	-0.321006	0.500000	0.500000	0.000000
a-3	0.000000	-0.215546	0.750000	0.250000	0.000000
a-4	0.000000	-0.284262	0.666667	0.333333	0.000000
a-5	0.005540	-0.278722	0.666667	0.333333	0.000000
a-6	0.000000	-0.327377	0.500000	0.500000	0.000000
a-7	0.069368	-0.352023	0.500000	0.000000	0.500000
a-8	0.000000	-0.342472	0.809524	0.000000	0.190476
a-9	0.000000	-0.421391	0.500000	0.000000	0.500000
gen-1-0	0.065257	-0.278520	0.750000	0.083333	0.166667
gen-1-1	0.024739	-0.232024	0.315789	0.631579	0.052632
gen-1-2	0.059157	-0.324629	0.500000	0.200000	0.300000
gen-1-3	0.019506	-0.273043	0.750000	0.166667	0.083333
gen-1-4	0.078720	-0.298365	0.533333	0.200000	0.266667
gen-1-5	0.065962	-0.225449	0.384615	0.538462	0.076923
gen-1-6	0.045601	-0.278387	0.444444	0.444444	0.111111
gen-1-7	0.050923	-0.287447	0.400000	0.050000	0.550000
gen-1-8	0.038774	-0.287008	0.750000	0.125000	0.125000
gen-1-9	0.038129	-0.350841	0.583333	0.083333	0.333333
gen-1-10	0.029645	-0.313402	0.500000	0.416667	0.083333
gen-1-11	0.041054	-0.339117	0.571429	0.142857	0.285714
gen-1-12	0.041475	-0.330743	0.666667	0.083333	0.250000
gen-1-13	0.064071	-0.319715	0.500000	0.200000	0.300000
gen-1-14	0.052278	-0.322107	0.500000	0.250000	0.250000
gen-1-15	0.011981	-0.315121	0.700000	0.200000	0.100000
gen-1-16	0.047989	-0.266469	0.727273	0.181818	0.090909
gen-1-17	0.048515	-0.331657	0.571429	0.142857	0.285714
gen-1-18	0.066515	-0.307870	0.500000	0.250000	0.250000
gen-1-19	0.021344	-0.285281	0.416667	0.500000	0.083333
gen-1-20	0.074930	-0.320231	0.545455	0.090909	0.363636
gen-1-21	0.063936	-0.222829	0.333333	0.333333	0.333333
gen-1-22	0.015836	-0.052379	0.066667	0.800000	0.133333
gen-1-23	0.048289	-0.308260	0.666667	0.166667	0.166667
gen-1-24	0.046847	-0.306464	0.571429	0.285714	0.142857
gen-1-25	0.042702	-0.291596	0.733333	0.133333	0.133333
gen-1-26	0.015414	-0.333842	0.625000	0.250000	0.125000
gen-1-27	0.035075	-0.261174	0.375000	0.500000	0.125000
gen-1-28	0.066584	-0.309301	0.454545	0.181818	0.363636
gen-1-29	0.048670	-0.237202	0.333333	0.500000	0.166667
gen-1-30	0.045600	-0.261025	0.416667	0.500000	0.083333
gen-1-31	0.044493	-0.323776	0.692308	0.076923	0.230769
gen-1-32	0.042924	-0.315069	0.555556	0.277778	0.166667
gen-1-33	0.058010	-0.316374	0.500000	0.250000	0.250000
gen-1-34	0.029757	-0.155630	0.842105	0.105263	0.052632
gen-1-35	0.047810	-0.273467	0.400000	0.400000	0.200000
gen-1-36	0.025199	-0.261565	0.333333	0.333333	0.333333
gen-1-37	0.058649	-0.228115	0.333333	0.333333	0.333333
gen-1-38	0.055902	-0.231309	0.333333	0.250000	0.416667
gen-1-39	0.056682	-0.202087	0.300000	0.600000	0.100000
gen-1-40	0.035475	-0.285802	0.400000	0.400000	0.200000
gen-1-41	0.066435	-0.323618	0.500000	0.166667	0.333333
gen-1-42	0.042319	-0.347013	0.555556	0.111111	0.333333
gen-1-43	0.043631	-0.338855	0.600000	0.100000	0.300000
gen-1-44	0.045693	-0.301135	0.526316	0.368421	0.105263
gen-1-45	0.068202	-0.295110	0.428571	0.214286	0.357143
gen-1-46	0.044217	-0.306664	0.500000	0.375000	0.125000
gen-1-47	0.088402	-0.251679	0.400000	0.300000	0.300000
gen-1-48	0.058133	0.043055	0.000000	0.800000	0.200000
gen-1-49	0.077963	-0.208207	0.333333	0.444444	0.222222
gen-1-50	0.052474	-0.321910	0.500000	0.250000	0.250000
gen-1-51	0.037631	-0.264843	0.400000	0.500000	0.100000
gen-1-52	0.045134	-0.277886	0.428571	0.428571	0.142857
gen-1-53	0.079754	-0.207011	0.333333	0.333333	0.333333
gen-1-54	0.024860	-0.302364	0.611111	0.333333	0.055556
gen-1-55	0.032885	-0.242541	0.333333	0.555556	0.111111
gen-1-56	0.066620	-0.299152	0.444444	0.222222	0.333333
gen-1-57	0.040776	-0.245097	0.333333	0.500000	0.166667
gen-1-58	0.076069	-0.209803	0.333333	0.500000	0.166667
gen-1-59	0.024706	-0.338978	0.600000	0.200000	0.200000
gen-1-60	0.030095	-0.306837	0.526316	0.421053	0.052632
gen-1-61	0.039740	-0.304140	0.545455	0.363636	0.090909
gen-1-62	0.022465	-0.350295	0.625000	0.125000	0.250000
gen-1-63	0.031522	-0.320713	0.727273	0.090909	0.181818
gen-1-64	0.031686	-0.328106	0.636364	0.181818	0.181818
gen-1-65	0.066137	-0.275562	0.454545	0.363636	0.181818
gen-1-66	0.032440	-0.334555	0.666667	0.111111	0.222222
gen-1-67	0.010810	-0.345739	0.666667	0.166667	0.166667
gen-1-68	0.025031	-0.258689	0.333333	0.111111	0.555556
gen-1-69	0.065456	-0.298227	0.600000	0.200000	0.200000
gen-1-70	0.008810	-0.209303	0.250000	0.750000	0.000000
gen-1-71	0.046592	-0.309957	0.666667	0.166667	0.166667
gen-1-72	0.024056	-0.317907	0.583333	0.333333	0.083333
gen-1-73	0.041651	-0.322033	0.600000	0.200000	0.200000
gen-1-74	0.049368	-0.307181	0.666667	0.166667	0.166667
gen-1-75	0.053317	-0.304676	0.555556	0.277778	0.166667
gen-1-76	0.069905	-0.335818	0.500000	0.083333	0.416667
gen-1-77	0.038034	-0.320681	0.500000	0.333333	0.166667
gen-1-78	0.064723	-0.154728	0.250000	0.500000	0.250000
gen-1-79	0.054425	-0.319960	0.500000	0.250000	0.250000
gen-1-80	0.030693	-0.320188	0.500000	0.375000	0.125000
gen-1-81	0.064118	-0.333770	0.500000	0.125000	0.375000
gen-1-82	0.032844	-0.310203	0.500000	0.416667	0.083333
gen-1-83	0.015864	-0.356354	0.666667	0.083333	0.250000
gen-1-84	0.021314	-0.281782	0.444444	0.555556	0.000000
gen-1-85	0.032477	-0.319905	0.642857	0.214286	0.142857
gen-1-86	0.052549	-0.299983	0.450000	0.300000	0.250000
gen-1-87	0.050085	-0.312948	0.650000	0.150000	0.200000
gen-1-88	0.045592	-0.327709	0.583333	0.166667	0.250000
gen-1-89	0.050463	-0.314520	0.500000	0.300000	0.200000
gen-1-90	0.074977	-0.322911	0.500000	0.125000	0.375000
gen-1-91	0.045992	-0.297054	0.500000	0.416667	0.083333
gen-1-92	0.050029	-0.333106	0.550000	0.150000	0.300000
gen-1-93	0.047005	-0.344882	0.600000	0.050000	0.350000
gen-1-94	0.076390	-0.297994	0.500000	0.250000	0.250000
gen-1-95	0.040966	-0.337197	0.611111	0.111111	0.277778
gen-1-96	0.070999	-0.268627	0.400000	0.100000	0.500000
gen-1-97	0.049434	-0.237331	0.333333	0.333333	0.333333
gen-1-98	0.039447	-0.306733	0.500000	0.400000	0.100000
gen-1-99	0.053671	-0.316618	0.437500	0.062500	0.500000
gen-1-100	0.063934	-0.115664	0.200000	0.500000	0.300000
gen-1-101	0.050534	-0.323850	0.500000	0.250000	0.250000
gen-1-102	0.064909	-0.325145	0.500000	0.166667	0.333333
gen-1-103	0.054842	-0.310141	0.500000	0.300000	0.200000
gen-1-104	0.020981	-0.348288	0.615385	0.153846	0.230769
gen-1-105	0.035316	-0.285961	0.400000	0.400000	0.200000
gen-1-106	0.041924	-0.316792	0.500000	0.333333	0.166667
gen-1-107	0.056424	-0.317961	0.500000	0.250000	0.250000
gen-1-108	0.040177	-0.252372	0.750000	0.166667	0.083333
gen-1-109	0.030103	-0.320778	0.500000	0.375000	0.125000
gen-1-110	0.025289	-0.292326	0.375000	0.062500	0.562500
gen-1-111	0.043243	-0.312338	0.500000	0.350000	0.150000
gen-1-112	0.036211	-0.301006	0.650000	0.250000	0.100000
gen-1-113	0.063647	-0.293985	0.583333	0.250000	0.166667
gen-1-114	0.052195	-0.288268	0.400000	0.133333	0.466667
gen-1-115	0.001720	-0.252815	0.333333	0.666667	0.000000
gen-1-116	0.052158	-0.316282	0.555556	0.222222	0.222222
gen-1-117	0.071123	-0.214749	0.333333	0.500000	0.166667
gen-1-118	0.061757	-0.225007	0.333333	0.333333	0.333333
