gen-2-138	-35.983809	-2.998651
gen-2-136	-34.427751	-2.868979
gen-2-172	-45.868320	-2.866770
gen-2-162	-26.066882	-2.369717
gen-2-155	-34.573575	-2.881131
gen-2-15	-28.631154	-2.863115
gen-2-122	-21.477046	-3.068149
gen-2-124	-34.772265	-2.897689
gen-2-156	-16.788262	-3.357652
gen-2-152	-17.445865	-2.907644
gen-2-171	-12.963738	-2.592748
gen-2-148	-52.245362	-2.902520
gen-2-0	-43.033170	-2.868878
gen-2-143	-24.305299	-3.038162
gen-2-135	-52.773857	-2.931881
gen-2-10	-33.014826	-2.751236
gen-2-142	-27.601955	-2.760195
gen-2-17	-35.784782	-2.982065
gen-2-115	-34.887509	-2.907292
gen-2-126	-44.652682	-2.790793
gen-2-160	-52.034098	-2.890783
gen-2-146	-35.190373	-2.932531
gen-2-118	-30.930359	-2.811851
gen-2-173	-35.682191	-2.973516
gen-2-125	-48.545184	-3.034074
gen-2-178	-9.315917	-2.328979
gen-2-113	-27.941744	-2.540159
gen-2-132	-22.953929	-2.869241
gen-2-110	-29.657753	-2.965775
gen-2-11	-11.310498	-2.827624
gen-2-127	-26.552196	-2.950244
gen-2-151	-33.941461	-2.828455
gen-2-114	-51.588980	-2.866054
gen-2-163	-30.086879	-3.008688
gen-2-129	-35.879855	-2.989988
gen-2-116	-22.360994	-2.795124
gen-2-120	-54.273167	-2.713658
gen-2-153	-46.462475	-2.903905
gen-2-150	-33.358865	-2.779905
gen-2-157	-42.953875	-2.863592
gen-2-144	-34.184694	-2.848725
gen-2-133	-35.235793	-2.936316
gen-2-130	-36.462615	-2.804817
gen-2-166	-50.666345	-2.814797
gen-2-121	-28.891603	-2.889160
gen-2-149	-42.651637	-2.843442
gen-2-111	-28.674055	-2.867405
gen-2-16	-32.214195	-2.684516
gen-2-108	-34.317644	-2.859804
gen-2-107	-34.216494	-2.851374
gen-2-170	-34.873004	-2.906084
gen-2-145	-26.044538	-2.893838
gen-2-117	-33.869701	-2.822475
gen-2-14	-49.677284	-2.759849
gen-2-147	-35.810295	-2.984191
gen-2-123	-26.090476	-2.898942
gen-2-100	-49.547816	-2.752656
gen-2-167	-34.306221	-2.858852
gen-2-154	-33.920524	-2.826710
gen-2-165	-33.039126	-2.753260
gen-2-102	-25.995918	-2.888435
gen-2-177	-52.527960	-2.918220
gen-2-169	-34.079616	-2.839968
gen-2-109	-22.054554	-2.450506
gen-2-104	-34.072644	-2.839387
gen-2-164	-16.121129	-2.686855
gen-2-103	-25.431794	-2.825755
gen-2-101	-36.639630	-3.053302
gen-2-175	-17.999923	-2.999987
gen-2-131	-42.371639	-2.824776
gen-2-134	-5.417481	-2.708740
gen-2-158	-22.575166	-2.821896
gen-2-168	-36.610567	-3.050881
gen-2-176	-25.874238	-2.874915
gen-2-128	-23.288400	-2.911050
gen-2-137	-30.654623	-3.065462
gen-2-139	-25.616104	-2.846234
gen-2-119	-23.869260	-2.652140
gen-2-1	-34.050885	-2.837574
gen-2-105	-55.728511	-2.786426
gen-2-112	-35.809818	-2.984152
gen-2-140	-39.460554	-2.818611
gen-2-141	-16.983619	-2.830603
gen-2-174	-24.705769	-2.745085
gen-2-106	-23.331162	-2.916395
gen-2-12	-36.783557	-3.065296
gen-2-161	-49.525501	-2.751417
gen-2-13	-46.328780	-2.895549
gen-2-159	-27.687438	-2.768744
gen-1-195	-36.296187	-2.592585
gen-1-181	-39.442478	-2.817320
gen-1-116	-25.528957	-2.836551
gen-1-179	-33.451376	-2.787615
gen-1-171	-34.898145	-2.908179
gen-1-118	-18.439891	-3.073315
gen-1-23	-32.159128	-2.679927
gen-1-29	-34.947822	-2.912319
gen-1-83	-33.586936	-2.798911
gen-1-21	-36.719494	-3.059958
gen-1-152	-10.921760	-2.730440
gen-1-58	-17.452933	-2.908822
gen-1-80	-22.450493	-2.806312
gen-1-75	-49.997060	-2.777614
gen-1-111	-56.352979	-2.817649
gen-1-188	-34.505566	-2.875464
gen-1-190	-27.962679	-2.796268
gen-1-44	-52.159362	-2.745230
gen-1-50	-23.343437	-2.917930
gen-1-174	-51.129147	-2.840508
gen-1-126	-18.301808	-3.050301
gen-1-3	-29.850302	-2.487525
gen-1-142	-57.826643	-2.891332
gen-1-18	-34.883648	-2.906971
gen-1-57	-17.519368	-2.919895
gen-1-197	-46.242793	-2.569044
gen-1-132	-55.575705	-2.778785
gen-1-88	-34.131315	-2.844276
gen-1-186	-36.853330	-2.834872
gen-1-162	-36.604004	-3.050334
gen-1-169	-28.964487	-2.633135
gen-1-11	-20.284054	-2.897722
gen-1-147	-40.560785	-2.897199
gen-1-14	-46.657946	-2.916122
gen-1-9	-35.333570	-2.944464
gen-1-154	-23.232579	-2.904072
gen-1-105	-29.222042	-2.922204
gen-1-84	-24.323486	-2.702610
gen-1-98	-27.718972	-2.771897
gen-1-31	-35.404051	-2.723389
gen-1-19	-33.728827	-2.810736
gen-1-16	-27.606598	-2.509691
gen-1-124	-50.753864	-2.985521
gen-1-185	-20.859007	-2.979858
gen-1-79	-23.291925	-2.911491
gen-1-59	-27.963002	-2.796300
gen-1-161	-10.698951	-2.674738
gen-1-140	-46.564659	-2.910291
gen-1-66	-24.709743	-2.745527
gen-1-70	-11.199487	-2.799872
gen-1-139	-40.343425	-2.881673
gen-1-89	-28.665395	-2.866539
gen-1-163	-28.057913	-2.805791
gen-1-120	-40.262033	-2.875859
gen-1-1	-53.636365	-2.822967
gen-1-56	-27.181968	-3.020219
gen-1-114	-47.466933	-3.164462
gen-1-175	-57.264944	-3.181386
