Filename,2Theta,Intensity,hkl
Li3Sn_split_06_gen_52.cif,17.083375384413934,86.40498505385735,"(0, 1, -1, -1)"
Li3Sn_split_06_gen_52.cif,17.0852559610523,85.51007619069001,"(0, 0, 0, 1)"
Li3Sn_split_06_gen_52.cif,17.09130242875983,85.37179042896244,"(0, 1, -1, 0)"
Li3Sn_split_06_gen_52.cif,25.1110384866773,100.00000000000001,"(1, 0, -1, -1)"
Li3Sn_split_06_gen_52.cif,25.111226535069612,99.65370168072707,"(1, -1, 0, 1)"
Li3Sn_split_06_gen_52.cif,25.113801868393043,99.97884720661075,"(1, -1, 0, 0)"
Li3Sn_split_06_gen_52.cif,25.114072702099694,99.62279033769217,"(1, 1, -2, -1)"
Li3Sn_split_06_gen_52.cif,25.116864000921602,99.94780202627356,"(1, 0, -1, 1)"
Li3Sn_split_06_gen_52.cif,25.122472060450082,99.95105976992308,"(1, 1, -2, 0)"
Li3Sn_split_06_gen_52.cif,29.812588481268005,88.35777434085782,"(0, 1, -1, -2)"
Li3Sn_split_06_gen_52.cif,29.823307867033215,88.26946991231416,"(0, 2, -2, -1)"
Li3Sn_split_06_gen_52.cif,29.82664035469902,88.25598856805671,"(0, 1, -1, 1)"
Li3Sn_split_06_gen_52.cif,34.561962551817096,20.47669650915749,"(0, 2, -2, -2)"
Li3Sn_split_06_gen_52.cif,34.56585783696628,20.874292969543813,"(0, 0, 0, 2)"
Li3Sn_split_06_gen_52.cif,34.57838224999825,20.889835438519615,"(0, 2, -2, 0)"
Li3Sn_split_06_gen_52.cif,37.02362194776116,69.24195512168343,"(2, 0, -2, 0)"
Li3Sn_split_06_gen_52.cif,39.364104249604665,44.040414964780254,"(1, -2, 1, 2)"
Li3Sn_split_06_gen_52.cif,39.36559472019911,43.74314855058442,"(1, 0, -1, -2)"
Li3Sn_split_06_gen_52.cif,39.36791306182704,44.03739003580077,"(1, 2, -3, -2)"
Li3Sn_split_06_gen_52.cif,39.37339036980807,43.72897194338624,"(1, 0, -1, 2)"
Li3Sn_split_06_gen_52.cif,39.37489427882111,43.70243582608701,"(1, -2, 1, 0)"
Li3Sn_split_06_gen_52.cif,39.386495694147506,43.6636074660921,"(1, 2, -3, 0)"
Li3Sn_split_06_gen_52.cif,41.03583331566706,9.767479774743187,"(2, 0, -2, -1)"
Li3Sn_split_06_gen_52.cif,41.03669969790488,9.773869806941354,"(2, -1, -1, 0)"
Li3Sn_split_06_gen_52.cif,41.036917913166,9.865490233900275,"(2, -1, -1, 1)"
Li3Sn_split_06_gen_52.cif,41.04059737618057,9.865959731821093,"(2, 1, -3, -1)"
Li3Sn_split_06_gen_52.cif,41.0433646521294,9.761595680186998,"(2, 0, -2, 1)"
Li3Sn_split_06_gen_52.cif,41.0479098271878,9.736862033544266,"(2, 1, -3, 0)"
Li3Sn_split_06_gen_52.cif,46.27479235639329,6.465464438744362,"(0, 2, -2, -3)"
Li3Sn_split_06_gen_52.cif,46.277085801509266,6.252106019512156,"(0, 1, -1, -3)"
Li3Sn_split_06_gen_52.cif,46.28708398145128,6.477229710167161,"(0, 3, -3, -2)"
Li3Sn_split_06_gen_52.cif,46.293198385728466,6.314928638017834,"(0, 1, -1, 2)"
Li3Sn_split_06_gen_52.cif,46.29675043914982,6.246742557636487,"(0, 3, -3, -1)"
Li3Sn_split_06_gen_52.cif,46.300571398725076,6.304533786291287,"(0, 2, -2, 1)"
Li3Sn_split_06_gen_52.cif,48.2358697403184,24.12530159101082,"(2, 1, -3, -2)"
Li3Sn_split_06_gen_52.cif,48.238157473595145,24.121299459476486,"(2, -2, 0, 1)"
Li3Sn_split_06_gen_52.cif,48.23868415960563,24.123861993044944,"(2, -1, -1, -1)"
Li3Sn_split_06_gen_52.cif,48.23926035851993,24.120059269566294,"(2, -1, -1, 2)"
Li3Sn_split_06_gen_52.cif,48.25126287300768,24.09932158628281,"(2, 2, -4, -1)"
Li3Sn_split_06_gen_52.cif,48.255179228837065,24.09650650835047,"(2, 1, -3, 1)"
Li3Sn_split_06_gen_52.cif,50.14843092975637,16.597915175726268,"(1, 1, -2, -3)"
Li3Sn_split_06_gen_52.cif,50.148668999184004,16.415169923115126,"(1, 2, -3, -3)"
Li3Sn_split_06_gen_52.cif,50.14874277886877,16.416138076697678,"(1, -2, 1, 3)"
Li3Sn_split_06_gen_52.cif,50.15329852140196,16.59108590450044,"(1, -1, 0, 3)"
Li3Sn_split_06_gen_52.cif,50.1563066651903,16.402420025004748,"(1, -3, 2, 2)"
Li3Sn_split_06_gen_52.cif,50.16041601544489,16.53206939825482,"(1, -1, 0, -2)"
Li3Sn_split_06_gen_52.cif,50.16379700070165,16.575693063033327,"(1, -3, 2, 1)"
Li3Sn_split_06_gen_52.cif,50.164246082376785,16.387215132779243,"(1, 3, -4, -2)"
Li3Sn_split_06_gen_52.cif,50.16657093691271,16.52292959181014,"(1, -2, 1, -1)"
Li3Sn_split_06_gen_52.cif,50.17164828573238,16.513419523818346,"(1, 1, -2, 2)"
Li3Sn_split_06_gen_52.cif,50.17495496673312,16.564880533033833,"(1, 3, -4, -1)"
Li3Sn_split_06_gen_52.cif,50.17937491159665,16.509791010145864,"(1, 2, -3, 1)"
Li3Sn_split_06_gen_52.cif,51.5414556533117,6.877840611662805,"(2, 0, -2, -2)"
Li3Sn_split_06_gen_52.cif,51.54186330047259,6.744713935671949,"(2, -2, 0, 2)"
Li3Sn_split_06_gen_52.cif,51.54744610676079,6.8802181774915905,"(2, -2, 0, 0)"
Li3Sn_split_06_gen_52.cif,51.548033225942085,6.736005223969274,"(2, 2, -4, -2)"
Li3Sn_split_06_gen_52.cif,51.5540843306712,6.866793630684377,"(2, 0, -2, 2)"
Li3Sn_split_06_gen_52.cif,51.566242104797006,6.88076419463082,"(2, 2, -4, 0)"
Li3Sn_split_06_gen_52.cif,52.921789467744354,18.371104610499543,"(0, 3, -3, -3)"
Li3Sn_split_06_gen_52.cif,52.928021571953934,18.36462342270913,"(0, 0, 0, 3)"
Li3Sn_split_06_gen_52.cif,52.94806019773712,18.350075209195456,"(0, 3, -3, 0)"
Li3Sn_split_06_gen_52.cif,56.45903307381627,0.018106033757761906,"(1, -3, 2, 3)"
Li3Sn_split_06_gen_52.cif,56.46272281372086,0.00986018345135853,"(1, 0, -1, -3)"
Li3Sn_split_06_gen_52.cif,56.46338062314652,0.018149414699013516,"(1, 3, -4, -3)"
Li3Sn_split_06_gen_52.cif,56.47162116374657,0.009846846959202418,"(1, 0, -1, 3)"
Li3Sn_split_06_gen_52.cif,56.479731565158396,0.009497348865597381,"(1, -3, 2, 0)"
Li3Sn_split_06_gen_52.cif,56.49297422733492,0.009158348698314153,"(1, 3, -4, 0)"
Li3Sn_split_06_gen_52.cif,59.847353510288364,9.56559349430281,"(3, -1, -2, 0)"
Li3Sn_split_06_gen_52.cif,59.847394153797445,9.569995240033325,"(3, 0, -3, -1)"
Li3Sn_split_06_gen_52.cif,59.848948866364935,9.536900403684278,"(3, -1, -2, 1)"
Li3Sn_split_06_gen_52.cif,59.85313949844415,9.53371183088439,"(3, 1, -4, -1)"
Li3Sn_split_06_gen_52.cif,59.85597186964169,9.566815546872235,"(3, 0, -3, 1)"
Li3Sn_split_06_gen_52.cif,59.86012156518286,9.575087935226797,"(3, 1, -4, 0)"
Li3Sn_split_06_gen_52.cif,60.68412622447007,2.8594122222768426,"(2, 1, -3, -3)"
Li3Sn_split_06_gen_52.cif,60.68644627797175,2.9559788874565363,"(2, 2, -4, -3)"
Li3Sn_split_06_gen_52.cif,60.68657619631839,2.956793633224751,"(2, -2, 0, 3)"
Li3Sn_split_06_gen_52.cif,60.689707934562854,2.9587361247650517,"(2, -3, 1, 2)"
Li3Sn_split_06_gen_52.cif,60.69187616984379,2.8854718605321734,"(2, -1, -1, -2)"
Li3Sn_split_06_gen_52.cif,60.69269765670595,2.8585789329891806,"(2, -1, -1, 3)"
Li3Sn_split_06_gen_52.cif,60.69488580947476,2.859796346079708,"(2, -3, 1, 1)"
Li3Sn_split_06_gen_52.cif,60.696603420901965,2.8860819736864523,"(2, -2, 0, -1)"
Li3Sn_split_06_gen_52.cif,60.70368938264882,2.966310559811689,"(2, 3, -5, -2)"
Li3Sn_split_06_gen_52.cif,60.7116570638968,2.892061445048248,"(2, 1, -3, 2)"
Li3Sn_split_06_gen_52.cif,60.71453623797238,2.85574971613511,"(2, 3, -5, -1)"
Li3Sn_split_06_gen_52.cif,60.719153136433135,2.8829014235476107,"(2, 2, -4, 1)"
Li3Sn_split_06_gen_52.cif,61.92512777728503,15.921855280655771,"(0, 2, -2, -4)"
Li3Sn_split_06_gen_52.cif,61.94928903101532,15.908510028506472,"(0, 4, -4, -2)"
Li3Sn_split_06_gen_52.cif,61.9568008834787,15.897351341655776,"(0, 2, -2, 2)"
Li3Sn_split_06_gen_52.cif,64.7542798873448,2.604554427887718,"(0, 3, -3, -4)"
Li3Sn_split_06_gen_52.cif,64.75916630093508,2.73160798791509,"(0, 1, -1, -4)"
Li3Sn_split_06_gen_52.cif,64.76802951322114,2.607881140027419,"(0, 4, -4, -3)"
Li3Sn_split_06_gen_52.cif,64.77719034144121,2.6967752555692455,"(0, 1, -1, 3)"
Li3Sn_split_06_gen_52.cif,64.7886266975668,2.7255139071154093,"(0, 4, -4, -1)"
Li3Sn_split_06_gen_52.cif,64.79290111285485,2.6917335888962004,"(0, 3, -3, 1)"
Li3Sn_split_06_gen_52.cif,66.3370742951676,9.599943127747592,"(2, -3, 1, 3)"
Li3Sn_split_06_gen_52.cif,66.33836108035652,9.599231631830826,"(2, 0, -2, -3)"
Li3Sn_split_06_gen_52.cif,66.34498680884136,9.597050502385606,"(2, 3, -5, -3)"
Li3Sn_split_06_gen_52.cif,66.3518622374142,9.596460487525462,"(2, -3, 1, 0)"
Li3Sn_split_06_gen_52.cif,66.35455646938885,9.593205471419157,"(2, 0, -2, 3)"
Li3Sn_split_06_gen_52.cif,66.37596659646545,9.587654767505443,"(2, 3, -5, 0)"
Li3Sn_split_06_gen_52.cif,67.90718599158006,6.817371888862438,"(1, -3, 2, 4)"
Li3Sn_split_06_gen_52.cif,67.90842848563366,6.820640354667544,"(1, 3, -4, -4)"
Li3Sn_split_06_gen_52.cif,67.90922647993234,6.70778437142709,"(1, 1, -2, -4)"
Li3Sn_split_06_gen_52.cif,67.91592776019893,6.709340469568179,"(1, -1, 0, 4)"
Li3Sn_split_06_gen_52.cif,67.91728803237446,6.809762448428664,"(1, -4, 3, 3)"
Li3Sn_split_06_gen_52.cif,67.92418402202178,6.73521904002378,"(1, -1, 0, -3)"
Li3Sn_split_06_gen_52.cif,67.92517015431743,6.8065992122926025,"(1, 4, -5, -3)"
Li3Sn_split_06_gen_52.cif,67.93472746135419,6.701311092804576,"(1, -4, 3, 1)"
Li3Sn_split_06_gen_52.cif,67.93615925631009,6.731288470845133,"(1, 1, -2, 3)"
Li3Sn_split_06_gen_52.cif,67.93821812672736,6.732568492094659,"(1, -3, 2, -1)"
Li3Sn_split_06_gen_52.cif,67.94794394911237,6.696976381854568,"(1, 4, -5, -1)"
Li3Sn_split_06_gen_52.cif,67.95279861355922,6.727250505260727,"(1, 3, -4, 1)"
Li3Sn_split_06_gen_52.cif,68.28589142352651,9.042503232281847,"(3, 0, -3, -2)"
Li3Sn_split_06_gen_52.cif,68.28759614379095,9.102712513445912,"(3, -2, -1, 2)"
Li3Sn_split_06_gen_52.cif,68.28964056999915,9.041323318987198,"(3, -2, -1, 0)"
Li3Sn_split_06_gen_52.cif,68.29539685690536,9.105120606595488,"(3, 2, -5, -2)"
Li3Sn_split_06_gen_52.cif,68.30185837717511,9.042419620639,"(3, 0, -3, 2)"
Li3Sn_split_06_gen_52.cif,68.31340684520545,9.030143835227028,"(3, 2, -5, 0)"
