Index	e_above_hull	formation_energy	Sn_fraction
21-157	0.036706	-0.347726	0.388889
21-158	0.008689	-0.325053	0.181818
21-159	0.038550	-0.262948	0.555556
21-160	0.020567	-0.318618	0.500000
21-161	0.026538	-0.182401	0.111111
21-162	0.037175	-0.369880	0.333333
21-163	0.007217	-0.306192	0.166667
21-164	0.049775	-0.359052	0.250000
21-165	0.036683	-0.189440	0.666667
21-166	0.046838	-0.326282	0.416667
21-167	0.000467	-0.406588	0.333333
21-168	0.034733	-0.200324	0.125000
21-169	0.000000	-0.408828	0.250000
21-170	0.037606	-0.352481	0.375000
21-171	0.028104	-0.345016	0.416667
21-172	0.014925	-0.154668	0.750000
21-173	0.014900	-0.154693	0.750000
21-174	0.000000	-0.408828	0.250000
21-175	0.026582	-0.182357	0.111111
21-176	0.014034	-0.350602	0.437500
21-177	0.036200	-0.235148	0.600000
21-178	0.025575	-0.354332	0.400000
21-179	0.073475	-0.265710	0.500000
21-180	0.000050	-0.339135	0.500000
21-181	0.026482	-0.182457	0.111111
21-182	0.014900	-0.154693	0.750000
21-183	0.006500	-0.400555	0.333333
21-184	0.034733	-0.200324	0.125000
21-185	0.049788	-0.359040	0.250000
21-186	0.027241	-0.157769	0.727273
21-187	0.049788	-0.359040	0.250000
21-188	0.000425	-0.408402	0.250000
21-189	0.027900	-0.379155	0.333333
21-190	0.067606	-0.233892	0.555556
21-191	0.022621	-0.268109	0.571429
21-192	0.026050	-0.313135	0.500000
21-193	0.028328	-0.336308	0.437500
21-194	0.026896	-0.346224	0.416667
21-195	0.029000	-0.140593	0.750000
21-196	0.036220	-0.235128	0.600000
21-197	0.000915	-0.357226	0.200000
21-198	0.045870	-0.293315	0.500000
21-199	0.049775	-0.359052	0.250000
06-0	0.054781	-0.258313	0.538462
06-1	0.000200	-0.408628	0.250000
06-2	0.038363	-0.232985	0.600000
06-3	0.005075	-0.401980	0.333333
06-4	0.029500	-0.196623	0.666667
06-5	0.049750	-0.359078	0.250000
06-6	0.020835	-0.359072	0.400000
06-7	0.088061	-0.296371	0.388889
06-8	0.049813	-0.359015	0.250000
06-9	0.057350	-0.349705	0.333333
06-10	0.008607	-0.325135	0.181818
06-11	0.001875	-0.405180	0.333333
06-12	0.000395	-0.357746	0.200000
06-13	0.037175	-0.324633	0.444444
06-14	0.000050	-0.339135	0.500000
06-15	0.000175	-0.357966	0.200000
06-16	0.000000	-0.408828	0.250000
06-17	0.067322	-0.274044	0.187500
06-18	0.047101	-0.324233	0.421053
06-19	0.037064	-0.324744	0.444444
06-20	0.000050	-0.339135	0.500000
06-21	0.000000	-0.408828	0.250000
06-22	0.058783	-0.254625	0.166667
06-23	0.000025	-0.339160	0.500000
06-24	0.000025	-0.339160	0.500000
06-25	0.018542	-0.207582	0.666667
06-26	0.016200	-0.297208	0.166667
06-27	0.061025	-0.296670	0.454545
06-28	0.000025	-0.339160	0.500000
06-29	0.040935	-0.338972	0.400000
06-30	0.033639	-0.267859	0.555556
06-31	0.014831	-0.324354	0.500000
06-32	0.000135	-0.358006	0.200000
06-33	0.000050	-0.339135	0.500000
06-34	0.040915	-0.338992	0.400000
06-35	0.045421	-0.351938	0.357143
06-36	0.057450	-0.351377	0.250000
06-37	0.057525	-0.351303	0.250000
06-38	0.000050	-0.339135	0.500000
06-39	0.055736	-0.234994	0.571429
06-40	0.074950	-0.151173	0.666667
06-41	0.032358	-0.193765	0.666667
06-42	0.058091	-0.283276	0.187500
06-43	0.008656	-0.378871	0.222222
06-44	0.033929	-0.339191	0.416667
06-45	0.003595	-0.354546	0.200000
06-46	0.029755	-0.347276	0.214286
06-47	0.021505	-0.215925	0.650000
06-48	0.064200	-0.274985	0.500000
06-49	0.003703	-0.403352	0.333333
06-50	0.027850	-0.379205	0.333333
06-51	0.042742	-0.183382	0.666667
06-52	0.049825	-0.359002	0.250000
06-53	0.048017	-0.291168	0.500000
06-54	0.057475	-0.351352	0.250000
06-55	0.034708	-0.304477	0.500000
