gen-2-33	-37.885114	-3.157093
gen-2-138	-39.862746	-3.321896
gen-2-136	-38.579440	-3.214953
gen-2-74	-42.574863	-3.041062
gen-2-93	-31.935113	-3.193511
gen-2-172	-50.766695	-3.172918
gen-2-162	-28.893292	-2.626663
gen-2-193	-32.686236	-3.268624
gen-2-155	-38.265195	-3.188766
gen-2-181	-44.311599	-3.692633
gen-2-15	-31.567905	-3.156790
gen-2-46	-29.338715	-3.259857
gen-2-122	-24.308731	-3.472676
gen-2-124	-38.731191	-3.227599
gen-2-156	-18.536464	-3.707293
gen-2-152	-19.228939	-3.204823
gen-2-171	-14.248972	-2.849794
gen-2-148	-57.777953	-3.209886
gen-2-25	-54.488593	-3.027144
gen-2-26	-28.685755	-3.585719
gen-2-21	-29.724518	-3.302724
gen-2-35	-53.072433	-2.948469
gen-2-81	-36.063358	-3.278487
gen-2-0	-49.098606	-3.273240
gen-2-82	-42.492568	-3.035183
gen-2-143	-26.841824	-3.355228
gen-2-2	-32.422101	-3.242210
gen-2-42	-34.701542	-3.154686
gen-2-58	-34.768459	-3.160769
gen-2-135	-58.597110	-3.255395
gen-2-10	-36.472466	-3.039372
gen-2-6	-29.511807	-3.279090
gen-2-59	-26.541600	-3.317700
gen-2-98	-38.571701	-3.214308
gen-2-99	-12.925816	-3.231454
gen-2-60	-12.667181	-3.166795
gen-2-62	-37.299394	-3.108283
gen-2-54	-49.700441	-3.106278
gen-2-49	-13.853048	-3.463262
gen-2-92	-31.306286	-3.130629
gen-2-142	-30.420806	-3.042081
gen-2-67	-42.940813	-3.067201
gen-2-17	-39.647793	-3.303983
gen-2-20	-39.753718	-3.312810
gen-2-95	-37.804107	-3.150342
gen-2-70	-38.705086	-3.225424
gen-2-34	-14.250940	-2.850188
gen-2-115	-38.267600	-3.188967
gen-2-126	-49.370258	-3.085641
gen-2-160	-57.457538	-3.192085
gen-2-22	-37.162749	-3.378432
gen-2-44	-63.811733	-3.190587
gen-2-91	-53.786306	-2.988128
gen-2-146	-38.854949	-3.237912
gen-2-71	-27.911153	-3.101239
gen-2-3	-19.352400	-3.225400
gen-2-56	-43.867015	-3.133358
gen-2-77	-53.634492	-2.979694
gen-2-184	-34.767505	-3.160682
gen-2-118	-34.293728	-3.117612
gen-2-85	-35.359734	-2.946644
gen-2-173	-39.643794	-3.303650
gen-2-125	-53.709347	-3.356834
gen-2-178	-10.343298	-2.585824
gen-2-113	-30.767887	-2.797081
gen-2-132	-25.590496	-3.198812
gen-2-110	-32.675021	-3.267502
gen-2-11	-12.866593	-3.216648
gen-2-127	-29.349729	-3.261081
gen-2-151	-37.555411	-3.129618
gen-2-55	-35.667484	-3.242499
gen-2-114	-57.371705	-3.187317
gen-2-163	-33.563150	-3.356315
gen-2-129	-39.769781	-3.314148
gen-2-18	-57.390286	-3.586893
gen-2-198	-45.535148	-3.252511
gen-2-53	-33.377509	-3.337751
gen-2-183	-26.872261	-3.359033
gen-2-116	-24.707333	-3.088417
gen-2-120	-60.004844	-3.000242
gen-2-153	-51.521611	-3.220101
gen-2-66	-31.491687	-3.149169
gen-2-31	-16.245239	-3.249048
gen-2-180	-36.395204	-3.032934
gen-2-150	-36.605845	-3.050487
gen-2-79	-36.856003	-3.071334
gen-2-179	-31.704877	-3.170488
gen-2-157	-48.903593	-3.260240
gen-2-73	-40.767679	-3.397307
gen-2-61	-21.412460	-3.058923
gen-2-96	-13.990657	-3.497664
gen-2-90	-30.498953	-3.049895
gen-2-144	-37.757235	-3.146436
gen-2-133	-38.926772	-3.243898
gen-2-130	-40.722777	-3.132521
gen-2-166	-55.596722	-3.088707
gen-2-121	-31.910932	-3.191093
gen-2-87	-9.674519	-3.224840
gen-2-149	-48.128939	-3.208596
gen-2-24	-24.811263	-3.101408
gen-2-190	-44.538985	-3.181356
gen-2-8	-37.102718	-3.091893
gen-2-111	-31.673148	-3.167315
gen-2-16	-35.449013	-2.954084
gen-2-108	-37.892213	-3.157684
gen-2-187	-19.556785	-3.259464
gen-2-28	-37.792876	-3.149406
gen-2-107	-37.695950	-3.141329
gen-2-5	-58.147088	-3.060373
gen-2-170	-38.634328	-3.219527
gen-2-72	-43.480165	-3.105726
gen-2-145	-28.901776	-3.211308
gen-2-117	-37.437785	-3.119815
gen-2-65	-65.706295	-3.650350
gen-2-14	-54.874720	-3.048596
gen-2-147	-39.722716	-3.310226
gen-2-123	-28.894552	-3.210506
gen-2-191	-36.798970	-3.066581
gen-2-100	-54.536739	-3.029819
