gen-3-0	-3.070931
gen-3-1	-2.803412
gen-3-10	-3.081874
gen-3-100	-3.048400
gen-3-101	-3.794857
gen-3-102	-3.585910
gen-3-103	-3.510709
gen-3-104	-3.036675
gen-3-105	-2.139407
gen-3-106	-1.908456
gen-3-107	-2.760392
gen-3-108	-2.823187
gen-3-109	-3.592959
gen-3-11	-3.853624
gen-3-110	-2.679963
gen-3-111	-3.133943
gen-3-112	-2.719151
gen-3-113	-3.138617
gen-3-114	-3.170697
gen-3-115	-3.244933
gen-3-116	-3.634160
gen-3-117	-3.375052
gen-3-118	-3.335075
gen-3-119	-2.955633
gen-3-12	-3.714603
gen-3-120	-3.492980
gen-3-121	-3.480876
gen-3-122	-3.544489
gen-3-123	-3.328107
gen-3-124	-3.519833
gen-3-125	-3.541282
gen-3-126	-3.464674
gen-3-127	-2.902412
gen-3-128	-3.712094
gen-3-129	-2.409647
gen-3-13	-2.760654
gen-3-130	-2.530593
gen-3-131	-3.102478
gen-3-132	-3.165982
gen-3-133	-2.818417
gen-3-134	-2.915885
gen-3-135	-3.370260
gen-3-136	-3.675622
gen-3-137	-3.304852
gen-3-138	-2.882345
gen-3-139	-3.761089
gen-3-14	-3.269312
gen-3-140	-3.139306
gen-3-141	-3.674745
gen-3-142	-3.018016
gen-3-143	-2.956236
gen-3-144	-3.425127
gen-3-145	-2.656407
gen-3-146	-3.174812
gen-3-147	-3.596973
gen-3-148	-3.304522
gen-3-149	-2.599712
gen-3-15	-2.923901
gen-3-150	-2.890855
gen-3-151	-2.388919
gen-3-152	-3.291118
gen-3-153	-3.333912
gen-3-154	-3.103377
gen-3-155	-3.265183
gen-3-156	-2.593542
gen-3-157	-2.975343
gen-3-158	-3.334630
gen-3-159	-2.541079
gen-3-16	-3.065165
gen-3-160	-3.608857
gen-3-161	-3.401172
gen-3-162	-2.760639
gen-3-163	-2.797042
gen-3-164	-2.902431
gen-3-165	-3.706118
gen-3-166	-3.747921
gen-3-167	-3.222965
gen-3-168	-3.446164
gen-3-169	-3.253538
gen-3-17	-3.437827
gen-3-170	-3.431818
gen-3-171	-2.998818
gen-3-172	-3.548674
gen-3-173	-2.867923
gen-3-174	-2.787986
gen-3-175	-3.420312
gen-3-176	-3.013857
gen-3-177	-2.825875
gen-3-178	-3.589383
gen-3-179	-3.789737
gen-3-18	-2.879732
gen-3-180	-2.737210
gen-3-181	-3.097708
gen-3-182	-2.972050
gen-3-19	-2.674402
gen-3-2	-3.604936
gen-3-20	-2.972912
gen-3-21	-2.694594
gen-3-22	-2.978731
gen-3-23	-2.669787
gen-3-24	-3.613500
gen-3-25	-3.350650
gen-3-26	-2.835026
gen-3-27	-3.073539
gen-3-28	-3.354904
gen-3-29	-3.596474
gen-3-3	-3.280826
gen-3-30	-2.701964
gen-3-31	-2.922903
gen-3-32	-3.254287
gen-3-33	-3.594696
gen-3-34	-3.663533
gen-3-35	-3.403649
gen-3-36	-2.761274
gen-3-37	-3.169051
gen-3-38	-2.968635
gen-3-39	-3.549581
gen-3-4	-3.615455
gen-3-40	-3.226661
gen-3-41	-2.781309
gen-3-42	-3.396177
gen-3-43	-3.616174
gen-3-44	-2.798873
gen-3-45	-3.438898
gen-3-46	-2.937623
gen-3-47	-2.486831
gen-3-48	-3.469156
gen-3-49	-3.144232
gen-3-5	-2.222053
gen-3-50	-3.429706
gen-3-51	-3.657148
gen-3-52	-3.478959
gen-3-53	-2.558183
gen-3-54	-3.098136
gen-3-55	-3.778815
gen-3-56	-3.097241
gen-3-57	-3.541104
gen-3-58	-3.293142
gen-3-59	-3.457380
gen-3-6	-3.128029
gen-3-60	-2.878512
gen-3-61	-3.305583
gen-3-62	-2.711008
gen-3-63	-3.690111
gen-3-64	-3.041323
gen-3-65	-2.828853
gen-3-66	-3.338207
gen-3-67	-3.039697
gen-3-68	-3.248110
gen-3-69	-3.565890
gen-3-7	-3.693750
gen-3-70	-2.594405
gen-3-71	-3.439433
gen-3-72	-3.202090
gen-3-73	-3.113626
gen-3-74	-3.387248
gen-3-75	-3.038410
gen-3-76	-2.736025
gen-3-77	-2.982482
gen-3-78	-3.521337
gen-3-79	-3.375164
gen-3-8	-3.447809
gen-3-80	-3.105946
gen-3-81	-2.424583
gen-3-82	-3.128630
gen-3-83	-2.761750
gen-3-84	-2.902703
gen-3-85	-1.909907
gen-3-86	-3.386646
gen-3-87	-3.394429
gen-3-88	-2.757620
gen-3-89	-3.000653
gen-3-9	-3.157019
gen-3-90	-2.541289
gen-3-91	-2.945975
gen-3-92	-3.550996
gen-3-93	-2.771573
gen-3-94	-2.655862
gen-3-95	-3.513706
gen-3-96	-3.082149
gen-3-97	-2.584226
gen-3-98	-3.610707
gen-3-99	-3.431484
