O-0	-2.875293
O-1	-2.823353
O-10	-2.922714
O-11	-3.630036
O-12	-2.974941
O-13	-3.697580
O-14	-2.378121
O-15	-3.835901
O-16	-3.693224
O-17	-3.303423
O-18	-3.303882
O-19	-3.738755
O-2	-3.623953
O-20	-2.526624
O-21	-2.669378
O-22	-3.697320
O-23	-2.805774
O-24	-3.697081
O-25	-2.885727
O-26	-2.986772
O-27	-2.975097
O-28	-3.457032
O-29	-3.242751
O-3	-3.245387
O-30	-2.067416
O-31	-3.305985
O-32	-2.902348
O-33	-3.697570
O-34	-3.296430
O-35	-2.121263
O-36	-2.543944
O-37	-2.666491
O-39	-3.396686
O-4	-3.062589
O-40	-2.766766
O-41	-2.902061
O-42	-2.469439
O-44	-2.584499
O-45	-2.875271
O-46	-3.306046
O-47	-2.823123
O-48	-2.731369
O-49	-2.760438
O-5	-3.249274
O-50	-2.823141
O-51	-2.942427
O-52	-2.651310
O-6	-3.101319
O-7	-3.561580
O-8	-3.306047
O-9	-3.628636
