# Tetrahedron method
       -0.2362175269        0.0000000000
       -0.2220444768        0.0000000000
       -0.2078714267        0.0000000000
       -0.1936983766        0.0000000000
       -0.1795253265        0.0000000000
       -0.1653522764        0.0000000000
       -0.1511792263        0.0000000000
       -0.1370061762        0.0000000000
       -0.1228331261        0.0000000000
       -0.1086600759        0.0000000000
       -0.0944870258        0.0000000000
       -0.0803139757        0.0000000000
       -0.0661409256        0.0000000000
       -0.0519678755        0.0000000000
       -0.0377948254        0.0000000000
       -0.0236217753        0.0000000000
       -0.0094487252        0.0000000000
        0.0047243249        0.0000910481
        0.0188973750        0.0014494243
        0.0330704251        0.0037021000
        0.0472434752        0.0063591712
        0.0614165253        0.0094206379
        0.0755895754        0.0128865002
        0.0897626255        0.0173994704
        0.1039356756        0.0247796374
        0.1181087258        0.0344558599
        0.1322817759        0.0463744388
        0.1464548260        0.0582659456
        0.1606278761        0.0702405655
        0.1748009262        0.0834049351
        0.1889739763        0.1000771291
        0.2031470264        0.1189405763
        0.2173200765        0.1385661197
        0.2314931266        0.1587785430
        0.2456661767        0.1818172333
        0.2598392268        0.2051203506
        0.2740122769        0.2283281425
        0.2881853270        0.2546593194
        0.3023583771        0.2948152436
        0.3165314272        0.3288493351
        0.3307044774        0.3536091812
        0.3448775275        0.3837508480
        0.3590505776        0.4298174099
        0.3732236277        0.4542363640
        0.3873966778        0.4821014615
        0.4015697279        0.5111265149
        0.4157427780        0.5496067737
        0.4299158281        0.5969111420
        0.4440888782        0.6341319125
        0.4582619283        0.6869624059
        0.4724349784        0.7448776356
        0.4866080285        0.8080650944
        0.5007810786        0.8635149634
        0.5149541287        0.9069374269
        0.5291271788        0.9646233522
        0.5433002289        1.0222550150
        0.5574732791        1.0760098949
        0.5716463292        1.1181813890
        0.5858193793        1.1749522385
        0.5999924294        1.2454201442
        0.6141654795        1.3256024705
        0.6283385296        1.4106551215
        0.6425115797        1.4906863451
        0.6566846298        1.5788917635
        0.6708576799        1.6732451178
        0.6850307300        1.7807339052
        0.6992037801        2.0101035022
        0.7133768302        2.1285193489
        0.7275498803        2.2355796072
        0.7417229304        2.3510870462
        0.7558959805        2.4833854889
        0.7700690306        2.6303947312
        0.7842420808        2.7678166972
        0.7984151309        2.9160192513
        0.8125881810        3.0819712980
        0.8267612311        3.2570795153
        0.8409342812        3.4526860033
        0.8551073313        3.6625929559
        0.8692803814        3.9419760833
        0.8834534315        4.3085357111
        0.8976264816        4.6417626601
        0.9117995317        5.0271570859
        0.9259725818        5.4762726962
        0.9401456319        6.1019423468
        0.9543186820        6.5720622908
        0.9684917321        7.0639245899
        0.9826647822        7.3637394394
        0.9968378324        7.3804631090
        1.0110108825        7.6803632068
        1.0251839326        8.1282309489
        1.0393569827        8.4726796847
        1.0535300328        8.9262548407
        1.0677030829        9.3640126807
        1.0818761330        9.9280859596
        1.0960491831       10.6039379889
        1.1102222332       10.7827277970
        1.1243952833       10.9468509101
        1.1385683334       11.2079384578
        1.1527413835       11.9937467082
        1.1669144336       14.5862760194
        1.1810874837       14.4435670734
        1.1952605338       14.0966955556
        1.2094335839       15.0156197116
        1.2236066341       13.9270022736
        1.2377796842       13.5564137144
        1.2519527343       13.0091326905
        1.2661257844       11.3954289341
        1.2802988345       11.2873989830
        1.2944718846       11.4110784623
        1.3086449347       11.2113465199
        1.3228179848       10.7154998113
        1.3369910349       10.5342446625
        1.3511640850       10.7952762285
        1.3653371351       10.6270917737
        1.3795101852       10.5825226127
        1.3936832353       10.3351792772
        1.4078562854       10.0173928356
        1.4220293355        9.5973174603
        1.4362023857        9.2882867175
        1.4503754358        9.1115820501
        1.4645484859        8.3487990770
        1.4787215360        8.3089146965
        1.4928945861        7.7293108720
        1.5070676362        7.2438763029
        1.5212406863        6.6714360187
        1.5354137364        7.1459801395
        1.5495867865        7.6522126248
        1.5637598366        6.8872916423
        1.5779328867        6.7297285951
        1.5921059368        7.5472915963
        1.6062789869        7.2378563905
        1.6204520370        6.5375928244
        1.6346250871        5.5925172047
        1.6487981372        4.6389358552
        1.6629711874        3.7883386887
        1.6771442375        3.1909405170
        1.6913172876        2.7276660142
        1.7054903377        2.2897137401
        1.7196633878        1.9746344691
        1.7338364379        1.6989374507
        1.7480094880        1.4098723618
        1.7621825381        1.1317769205
        1.7763555882        1.1411098538
        1.7905286383        1.3439084883
        1.8047016884        1.6922225715
        1.8188747385        2.0543862113
        1.8330477886        2.4902674414
        1.8472208387        4.1608698991
        1.8613938888        4.9784599409
        1.8755669390        5.3585328867
        1.8897399891        5.8142038771
        1.9039130392        6.3215297633
        1.9180860893        6.2607824457
        1.9322591394        6.1338845437
        1.9464321895        7.4688265606
        1.9606052396        8.8871268466
        1.9747782897       11.5903149111
        1.9889513398       14.3213453299
        2.0031243899        8.4194651217
        2.0172974400        8.4244627434
        2.0314704901        8.7923704592
        2.0456435402       10.0944289323
        2.0598165903       10.6302550805
        2.0739896404       11.5440244979
        2.0881626905       12.8370976601
        2.1023357407       15.2060137394
        2.1165087908       13.1919907555
        2.1306818409       11.8914287034
        2.1448548910        9.6753439076
        2.1590279411        7.9840855472
        2.1732009912        6.7547162872
        2.1873740413        5.7927005537
        2.2015470914        4.9537216875
        2.2157201415        4.5242062408
        2.2298931916        3.7318695566
        2.2440662417        3.5094278994
        2.2582392918        3.2626003485
        2.2724123419        2.5297277405
        2.2865853920        2.0089682838
        2.3007584421        1.3476490800
        2.3149314923        0.9803375890
        2.3291045424        0.5816291014
        2.3432775925        0.4751202468
        2.3574506426        0.1458798574
        2.3716236927        0.0000000000
        2.3857967428        0.0000000000
        2.3999697929        0.0000000000
        2.4141428430        0.0000000000
        2.4283158931        0.0000000000
        2.4424889432        0.0000000000
        2.4566619933        0.0000000000
        2.4708350434        0.0000000000
        2.4850080935        0.0000000000
        2.4991811436        0.0000000000
        2.5133541937        0.0000000000
        2.5275272438        0.0000000000
        2.5417002940        0.0000000000
        2.5558733441        0.0000000000
        2.5700463942        0.0000000000
        2.5842194443        0.0000000000
        2.5983924944        0.0000000000
