Filename,2Theta,Intensity,hkl
gen_92.cif,16.088881428170154,100.0,"(0, 0, 1)"
gen_92.cif,18.735932671093963,25.22117281297845,"(1, 1, 0)"
gen_92.cif,20.230017341156724,1.3934635307852472,"(1, 1, 1)"
gen_92.cif,22.255267110260576,36.386895009948816,"(1, 0, 0)"
gen_92.cif,25.634306344770163,85.03482559700875,"(1, 0, 1)"
gen_92.cif,28.67304951171191,30.007007450822282,"(1, 1, -1)"
gen_92.cif,29.412856691522958,0.565236064396306,"(1, 0, -1)"
gen_92.cif,31.64874236555997,13.976953899599007,"(1, 1, 2)"
gen_92.cif,32.50635963441993,2.618504653174783,"(0, 0, 2)"
gen_92.cif,34.303716331862745,29.353956378493553,"(2, 1, 1)"
gen_92.cif,34.96285101620231,58.572723236965146,"(2, 1, 0)"
gen_92.cif,35.92271825242119,19.410891411521398,"(2, 2, 1)"
gen_92.cif,36.93597488526075,48.945899977759034,"(1, 0, 2)"
gen_92.cif,37.99764253684181,5.1284275268136295,"(2, 2, 0)"
gen_92.cif,40.97343430586789,19.207172748733868,"(1, -1, 0)"
gen_92.cif,41.03875737867383,2.415430176761695,"(2, 1, 2)"
gen_92.cif,41.1274844113335,17.97019632007493,"(2, 2, 2)"
gen_92.cif,42.40746514484084,12.236568050399763,"(1, 0, -2)"
gen_92.cif,42.72220778518077,19.79395534370682,"(2, 1, -1)"
gen_92.cif,43.16381689831391,15.956305924072161,"(1, 1, -2)"
gen_92.cif,44.287372418006335,16.204196744284747,"(1, -1, 1)"
gen_92.cif,45.410483061235645,5.354515216901474,"(2, 0, 0)"
gen_92.cif,46.10605062036963,0.3363508501573412,"(2, 0, 1)"
gen_92.cif,46.53360635476929,0.028899908478521426,"(2, 2, -1)"
gen_92.cif,46.69234063832438,9.919564112646109,"(1, 1, 3)"
gen_92.cif,49.64688230710007,0.7770737048566633,"(0, 0, 3)"
gen_92.cif,49.86671604599217,0.22326059869918413,"(3, 2, 1)"
gen_92.cif,49.866726612081045,0.22326049006946605,"(2, 3, 1)"
gen_92.cif,50.77364458509979,12.832670478164687,"(2, 0, -1)"
gen_92.cif,51.77820623990793,7.247256245092613,"(1, 0, 3)"
gen_92.cif,51.8040561984587,3.1410404244730166,"(2, 2, 3)"
gen_92.cif,52.58672546572106,1.622199258408148,"(3, 2, 0)"
gen_92.cif,52.58673598807406,1.6221983932081037,"(2, 3, 0)"
