Index	e_above_hull	formation_energy	Sn_fraction
gen-1-138	0.026680	-0.354880	0.333333
gen-1-139	0.013863	-0.317342	0.500000
gen-1-140	0.020488	-0.279010	0.550000
gen-1-141	0.019042	-0.271570	0.166667
gen-1-142	0.000000	-0.378523	0.222222
gen-1-143	0.023897	-0.302792	0.187500
gen-1-144	0.024206	-0.344765	0.375000
gen-1-145	0.038863	-0.342696	0.333333
gen-1-146	0.018881	-0.342537	0.400000
gen-1-147	0.033668	-0.234123	0.600000
gen-1-148	0.010413	-0.371146	0.333333
gen-1-149	0.035357	-0.360589	0.285714
gen-1-150	0.009481	-0.281131	0.166667
gen-1-151	0.020151	-0.341267	0.400000
gen-1-152	0.014556	-0.316650	0.500000
gen-1-153	0.038400	-0.187115	0.666667
gen-1-154	0.022191	-0.339227	0.400000
gen-1-155	0.000039	-0.331167	0.500000
gen-1-156	0.006269	-0.385361	0.300000
gen-1-157	0.037507	-0.344052	0.333333
gen-1-158	0.022460	-0.365393	0.312500
gen-1-159	0.019008	-0.312197	0.500000
gen-1-160	0.017453	-0.313752	0.500000
gen-1-161	0.009976	-0.371583	0.333333
gen-1-162	0.000000	-0.290612	0.166667
gen-1-163	0.019942	-0.311264	0.500000
gen-1-164	0.012171	-0.369388	0.333333
gen-1-165	0.011081	-0.158055	0.750000
gen-1-166	0.023517	-0.201998	0.666667
gen-1-167	0.011700	-0.157436	0.750000
gen-1-168	0.036490	-0.215448	0.625000
gen-1-169	0.021175	-0.269437	0.166667
gen-1-170	0.030606	-0.325776	0.416667
gen-1-171	0.016906	-0.352065	0.375000
gen-1-172	0.010390	-0.337946	0.200000
gen-1-173	0.000339	-0.378185	0.222222
gen-1-174	0.015789	-0.336997	0.428571
gen-1-175	0.000000	-0.225515	0.666667
gen-1-176	0.014905	-0.316301	0.500000
gen-1-177	0.026130	-0.355430	0.333333
gen-1-178	0.010030	-0.371530	0.333333
gen-1-179	0.037771	-0.323647	0.400000
gen-1-180	0.009075	-0.322131	0.500000
gen-1-181	0.005594	-0.372929	0.222222
gen-1-182	0.002158	-0.329047	0.500000
gen-1-183	0.015296	-0.366263	0.333333
gen-1-184	0.000017	-0.395367	0.250000
gen-1-185	0.022341	-0.339077	0.400000
gen-1-186	0.009952	-0.371607	0.333333
gen-1-187	0.022990	-0.333393	0.416667
gen-1-188	0.016080	-0.365480	0.333333
gen-1-189	0.026873	-0.240918	0.600000
gen-1-190	0.035350	-0.312986	0.200000
gen-1-191	0.017249	-0.374381	0.300000
gen-1-192	0.026862	-0.342109	0.375000
gen-1-193	0.013792	-0.276820	0.166667
gen-1-194	0.017696	-0.363863	0.333333
gen-1-195	0.025525	-0.199990	0.666667
gen-1-196	0.009913	-0.371646	0.333333
gen-1-197	0.006229	-0.385401	0.300000
gen-1-198	0.016288	-0.286093	0.545455
gen-1-199	0.036062	-0.359321	0.250000
gen-2-0	0.034651	-0.315438	0.437500
gen-2-1	0.048750	0.048750	1.000000
gen-2-2	0.048133	0.048133	1.000000
gen-2-3	0.034643	-0.158656	0.714286
gen-2-4	0.049214	0.049214	1.000000
gen-2-5	0.032033	-0.299172	0.500000
gen-2-6	0.025650	-0.322686	0.200000
gen-2-7	0.013225	-0.155911	0.750000
gen-2-8	0.040114	0.040114	1.000000
gen-2-9	0.022171	-0.339247	0.400000
gen-2-10	0.023494	-0.372327	0.277778
gen-2-11	0.057433	0.057433	1.000000
gen-2-12	0.008495	-0.308355	0.181818
gen-2-13	0.041150	0.041150	1.000000
gen-2-14	0.020198	-0.279300	0.550000
gen-2-15	0.022706	-0.127638	0.777778
gen-2-16	0.040408	0.040408	1.000000
gen-2-17	0.052767	0.052767	1.000000
gen-2-18	0.000003	-0.331202	0.500000
gen-2-19	0.020513	-0.361046	0.333333
gen-2-20	0.041200	0.041200	1.000000
gen-2-21	0.016294	-0.314911	0.500000
gen-2-22	0.000020	-0.348316	0.200000
gen-2-23	0.058700	0.058700	1.000000
gen-2-24	0.015798	-0.340584	0.416667
gen-2-25	0.039544	-0.256431	0.555556
gen-2-26	0.029068	-0.238723	0.600000
gen-2-27	0.040818	-0.354923	0.272727
gen-2-28	0.001725	-0.393658	0.250000
gen-2-29	0.040383	0.040383	1.000000
gen-2-30	0.014121	-0.353621	0.214286
gen-2-31	0.048750	0.048750	1.000000
gen-2-32	0.027230	-0.175733	0.700000
