Index	e_above_hull	Sn_fraction
a-14	0.015067	0.500000
a-15	0.012289	0.333333
a-16	0.084540	0.600000
a-17	0.038722	0.333333
a-18	0.010056	0.333333
a-19	0.079733	0.666667
a-20	0.115481	0.250000
a-21	0.092200	0.500000
a-22	0.143356	0.333333
a-23	0.070925	0.500000
a-24	0.010089	0.333333
a-25	0.108789	0.333333
a-26	0.053433	0.833333
a-27	0.012804	0.750000
a-28	0.007422	0.300000
a-29	0.042817	0.666667
a-30	0.091700	0.500000
a-31	0.011700	0.750000
a-32	0.061050	0.750000
a-33	0.297222	0.333333
a-34	0.008222	0.166667
a-35	0.186256	0.333333
a-36	0.008833	0.500000
a-37	0.001600	0.500000
a-38	0.038100	0.666667
a-39	0.027972	0.333333
a-40	0.136806	0.250000
a-41	0.025925	0.666667
a-42	0.043525	0.750000
a-43	0.009275	0.500000
a-44	0.000056	0.250000
a-45	0.038722	0.333333
a-46	0.071850	0.750000
a-47	0.068606	0.250000
a-48	0.114722	0.333333
a-49	0.029867	0.666667
a-50	0.186872	0.200000
a-51	0.080878	0.555556
a-52	0.022008	0.666667
a-53	0.115006	0.250000
a-54	0.228552	0.200000
a-55	0.013489	0.333333
a-56	0.050706	0.333333
a-57	0.113131	0.250000
a-58	0.000096	0.277778
a-59	0.024000	0.666667
a-60	0.058467	0.666667
a-61	0.054733	0.666667
a-62	0.038756	0.333333
a-63	0.013625	0.750000
a-64	0.163192	0.500000
a-65	0.000181	0.250000
a-66	0.212606	0.333333
a-67	0.093887	0.250000
a-68	0.024717	0.666667
a-69	0.061450	0.500000
a-70	0.186212	0.200000
a-71	0.090550	0.750000
a-72	0.068606	0.250000
a-73	0.023820	0.800000
a-74	0.261456	0.250000
a-75	0.060067	0.666667
a-76	0.010975	0.750000
a-77	0.038067	0.666667
a-78	0.048850	0.500000
a-79	0.044650	0.750000
a-80	0.000029	0.285714
a-81	0.038722	0.333333
a-82	0.007452	0.300000
a-83	0.009700	0.500000
a-84	0.056350	0.750000
a-85	0.136856	0.250000
a-86	0.015192	0.500000
a-87	0.144600	0.500000
a-88	0.241825	0.500000
a-89	0.000256	0.250000
a-90	0.091750	0.500000
a-91	0.038722	0.333333
a-92	0.064556	0.333333
a-93	0.063275	0.750000
a-94	0.067033	0.666667
a-95	0.009750	0.500000
a-96	0.257781	0.250000
a-97	0.042717	0.666667
a-98	0.103533	0.666667
a-99	0.009971	0.714286
a-100	0.064817	0.666667
a-101	0.232755	0.166667
a-102	0.045450	0.750000
a-103	0.025867	0.666667
a-104	0.000033	0.190476
a-105	0.051817	0.833333
a-106	0.162950	0.500000
a-107	0.000156	0.250000
a-108	0.020663	0.500000
a-109	0.013575	0.750000
a-110	0.000107	0.277778
a-111	0.198489	0.333333
a-112	0.108756	0.333333
a-113	0.000014	0.285714
a-114	0.130744	0.461538
a-115	0.068606	0.250000
a-116	0.201483	0.833333
a-117	0.011675	0.750000
a-118	0.012389	0.333333
a-119	0.015678	0.222222
a-120	0.007675	0.500000
a-121	0.012389	0.333333
a-122	0.055033	0.666667
a-123	0.212975	0.500000
a-124	0.141550	0.500000
a-125	0.089300	0.750000
a-126	0.015800	0.222222
a-127	0.145025	0.500000
a-128	0.010093	0.714286
a-129	0.129039	0.166667
a-130	0.000031	0.250000
a-131	0.098075	0.500000
a-132	0.076974	0.444444
a-133	0.052150	0.750000
a-134	0.018905	0.166667
a-135	0.030700	0.666667
a-136	0.068606	0.250000
a-137	0.136781	0.250000
a-138	0.025533	0.666667
a-139	0.011463	0.750000
a-140	0.024033	0.666667
a-141	0.019750	0.500000
a-142	0.057417	0.500000
a-143	0.030933	0.666667
a-144	0.050933	0.833333
a-145	0.181740	0.800000
a-146	0.091750	0.500000
a-147	0.053233	0.500000
a-148	0.037300	0.111111
a-149	0.240225	0.500000
a-150	0.006783	0.185185
a-151	0.056300	0.750000
a-152	0.104133	0.666667
a-153	0.037600	0.500000
a-154	0.095650	0.750000
a-155	0.061991	0.413793
a-156	0.013225	0.750000
gen-1-0	0.017606	0.333333
gen-1-1	0.029333	0.500000
gen-1-2	0.017332	0.300000
gen-1-3	0.046547	0.200000
gen-1-4	0.023585	0.444444
gen-1-5	0.020973	0.400000
gen-1-6	0.009900	0.500000
gen-1-7	0.021311	0.333333
gen-1-8	0.024981	0.333333
gen-1-9	0.016533	0.222222
gen-1-10	0.016333	0.333333
gen-1-11	0.025619	0.416667
gen-1-12	0.023575	0.650000
gen-1-13	0.033139	0.333333
gen-1-14	0.030236	0.363636
gen-1-15	0.028968	0.125000
gen-1-16	0.000050	0.500000
gen-1-17	0.026425	0.562500
gen-1-18	0.034238	0.625000
gen-1-19	0.034650	0.650000
gen-1-20	0.009275	0.500000
gen-1-21	0.035725	0.200000
gen-1-22	0.019389	0.555556
gen-1-23	0.018697	0.300000
gen-1-24	0.037373	0.400000
gen-1-25	0.027455	0.357143
gen-1-26	0.035205	0.125000
gen-1-27	0.021957	0.571429
gen-1-28	0.023033	0.666667
gen-1-29	0.017805	0.125000
gen-1-30	0.012313	0.312500
gen-1-31	0.008205	0.166667
gen-1-32	0.016723	0.250000
gen-1-33	0.044069	0.625000
gen-1-34	0.000030	0.500000
gen-1-35	0.031617	0.666667
gen-1-36	0.018988	0.500000
gen-1-37	0.030038	0.500000
gen-1-38	0.015113	0.400000
gen-1-39	0.044792	0.300000
gen-1-40	0.019087	0.300000
gen-1-41	0.027083	0.750000
gen-1-42	0.026556	0.555556
gen-1-43	0.017337	0.125000
gen-1-44	0.013769	0.444444
