Index	e_above_hull	formation_energy	Sn_fraction
a-76	0.010900	-0.158353	0.750000
a-77	0.038000	-0.187671	0.666667
a-78	0.048850	-0.282656	0.500000
a-79	0.044575	-0.124678	0.750000
a-80	0.000029	-0.396438	0.285714
a-81	0.038722	-0.343308	0.333333
a-82	0.007452	-0.384684	0.300000
a-83	0.009700	-0.321806	0.500000
a-84	0.056275	-0.112978	0.750000
a-85	0.136856	-0.258909	0.250000
a-86	0.015192	-0.316315	0.500000
a-87	0.144600	-0.186906	0.500000
a-88	0.241825	-0.089681	0.500000
a-89	0.000256	-0.395509	0.250000
a-90	0.091750	-0.239756	0.500000
a-91	0.038722	-0.343308	0.333333
a-92	0.064556	-0.317475	0.333333
a-93	0.063200	-0.106053	0.750000
a-94	0.066967	-0.158704	0.666667
a-95	0.009750	-0.321756	0.500000
a-96	0.257781	-0.137984	0.250000
a-97	0.042650	-0.183021	0.666667
a-98	0.103467	-0.122204	0.666667
a-99	0.009900	-0.183532	0.714286
a-100	0.064750	-0.160921	0.666667
a-101	0.232697	-0.063310	0.166667
a-102	0.045375	-0.123878	0.750000
a-103	0.025800	-0.199871	0.666667
a-104	0.000033	-0.338261	0.190476
a-105	0.051733	-0.061102	0.833333
a-106	0.162950	-0.168556	0.500000
a-107	0.000156	-0.395609	0.250000
a-108	0.020663	-0.310844	0.500000
a-109	0.013500	-0.155753	0.750000
a-110	0.000107	-0.396798	0.277778
a-111	0.198489	-0.183542	0.333333
a-112	0.108756	-0.273275	0.333333
a-113	0.000014	-0.396452	0.285714
a-114	0.130744	-0.212422	0.461538
a-115	0.068606	-0.327159	0.250000
a-116	0.201400	0.088565	0.833333
a-117	0.011600	-0.157653	0.750000
a-118	0.012389	-0.369642	0.333333
a-119	0.015678	-0.363243	0.222222
a-120	0.007675	-0.323831	0.500000
a-121	0.012389	-0.369642	0.333333
a-122	0.054967	-0.170704	0.666667
a-123	0.212975	-0.118531	0.500000
a-124	0.141550	-0.189956	0.500000
a-125	0.089225	-0.080028	0.750000
a-126	0.015800	-0.363121	0.222222
a-127	0.145025	-0.186481	0.500000
a-128	0.010021	-0.183411	0.714286
a-129	0.128980	-0.167027	0.166667
a-130	0.000031	-0.395734	0.250000
a-131	0.098075	-0.233431	0.500000
a-132	0.076974	-0.271374	0.444444
a-133	0.052075	-0.117178	0.750000
a-134	0.018847	-0.277160	0.166667
a-135	0.030633	-0.195037	0.666667
a-136	0.068606	-0.327159	0.250000
a-137	0.136781	-0.258984	0.250000
a-138	0.025467	-0.200204	0.666667
a-139	0.011388	-0.157866	0.750000
a-140	0.023967	-0.201704	0.666667
a-141	0.019750	-0.311756	0.500000
a-142	0.057417	-0.274090	0.500000
a-143	0.030867	-0.194804	0.666667
a-144	0.050850	-0.061985	0.833333
a-145	0.181660	0.046258	0.800000
a-146	0.091750	-0.239756	0.500000
a-147	0.053233	-0.278273	0.500000
a-148	0.037105	-0.160233	0.111111
a-149	0.240225	-0.091281	0.500000
a-150	0.006770	-0.322127	0.185185
a-151	0.056225	-0.113028	0.750000
a-152	0.104067	-0.121604	0.666667
a-153	0.037600	-0.293906	0.500000
a-154	0.095575	-0.073678	0.750000
a-155	0.061991	-0.295649	0.413793
a-156	0.013150	-0.156103	0.750000
