a-0	-3.256102	-13.024409
a-1	-3.572915	-14.291661
a-10	-2.969119	-17.814713
a-100	-3.448644	-20.691866
a-101	-2.318631	-13.911783
a-102	-3.583678	-14.334710
a-103	-3.487597	-20.925579
a-104	-2.642745	-277.488251
a-105	-3.692968	-22.157808
a-106	-3.112139	-12.448557
a-107	-2.823008	-11.292031
a-108	-3.254439	-26.035511
a-109	-3.615554	-14.462215
a-11	-3.275083	-6.550166
a-110	-2.881546	-51.867832
a-111	-2.783008	-16.698048
a-112	-2.872727	-17.236362
a-113	-2.897579	-20.283054
a-114	-3.076603	-39.995834
a-115	-2.754556	-11.018223
a-116	-3.543304	-21.259827
a-117	-3.617447	-14.469789
a-118	-2.969101	-8.907303
a-119	-2.733279	-49.199020
a-12	-3.213894	-12.855576
a-120	-3.267432	-13.069729
a-121	-2.969093	-8.907280
a-122	-3.458435	-10.375306
a-123	-3.062115	-12.248461
a-124	-3.133549	-12.534195
a-125	-3.539814	-14.159257
a-126	-2.733155	-49.196785
a-127	-3.130070	-12.520279
a-128	-3.569465	-49.972511
a-129	-2.422354	-14.534125
a-13	-2.942752	-8.828256
a-130	-2.823135	-11.292539
a-131	-3.177028	-12.708111
a-132	-3.100252	-27.902269
a-133	-3.576981	-14.307924
a-134	-2.532483	-15.194899
a-135	-3.482783	-10.448350
a-136	-2.754555	-11.018218
a-137	-2.686369	-10.745475
a-138	-3.487935	-20.927612
a-139	-3.617667	-28.941338
a-14	-3.260037	-39.120449
a-140	-3.489450	-10.468349
a-141	-3.255356	-13.021425
a-142	-3.217679	-19.306072
a-143	-3.482522	-10.447565
a-144	-3.693843	-22.163059
a-145	-3.516778	-17.583889
a-146	-3.183362	-12.733448
a-147	-3.221868	-19.331209
a-148	-2.300842	-20.707577
a-149	-3.034887	-12.139546
a-15	-2.969203	-17.815220
a-150	-2.615687	-282.494202
a-151	-3.572829	-14.291315
a-152	-3.409330	-20.455982
a-153	-3.237501	-12.950006
a-154	-3.533469	-28.267754
a-155	-3.061242	-88.776016
a-156	-3.615894	-14.463575
a-16	-3.333580	-16.667898
a-17	-2.942762	-8.828285
a-18	-2.971445	-8.914336
a-19	-3.433728	-20.602367
a-2	-2.900074	-17.400444
a-20	-2.707685	-10.830739
a-21	-3.182903	-19.097420
a-22	-2.838137	-17.028822
a-23	-3.204164	-12.816654
a-24	-2.971398	-8.914194
a-25	-2.872707	-17.236242
a-26	-3.691356	-22.148136
a-27	-3.616319	-86.791664
a-28	-2.915343	-58.306870
a-29	-3.470644	-20.823862
a-3	-2.642781	-277.492004
a-30	-3.183396	-12.733582
a-31	-3.617425	-14.469700
a-32	-3.568079	-14.272314
a-33	-2.684251	-8.052753
a-34	-2.543163	-15.258978
a-35	-2.795237	-8.385710
a-36	-3.266266	-19.597595
a-37	-3.273503	-32.735035
a-38	-3.475360	-10.426080
a-39	-2.953516	-17.721098
a-4	-2.822904	-11.291616
a-40	-2.686356	-10.745422
a-41	-3.487546	-41.850548
a-42	-3.585606	-14.342422
a-43	-3.265836	-13.063343
a-44	-2.823096	-11.292385
a-45	-2.942762	-8.828286
a-46	-3.557288	-14.229153
a-47	-2.754547	-11.018188
a-48	-2.866771	-8.600312
a-49	-3.483604	-10.450811
a-5	-3.580194	-21.481161
a-50	-2.487758	-49.755157
a-51	-3.273677	-29.463093
a-52	-3.491454	-41.897453
a-53	-2.708148	-10.832594
a-54	-2.446070	-12.230352
a-55	-2.967999	-8.903997
a-56	-2.930777	-17.584660
a-57	-2.710022	-10.840090
a-58	-2.881556	-51.868004
a-59	-3.489453	-10.468359
a-6	-2.912336	-69.896072
a-60	-3.455001	-10.365002
a-61	-3.458735	-10.376204
a-62	-2.942725	-8.828176
a-63	-3.615502	-14.462008
a-64	-3.111910	-37.342922
a-65	-2.822987	-11.291947
a-66	-2.768876	-16.613256
a-67	-2.729272	-43.668346
a-68	-3.488743	-20.932461
a-69	-3.213642	-6.427283
a-7	-3.218436	-6.436872
a-70	-2.488422	-12.442111
a-71	-3.538570	-14.154282
a-72	-2.754556	-11.018225
a-73	-3.674693	-18.373463
a-74	-2.561705	-10.246819
a-75	-3.453392	-20.720352
a-76	-3.618153	-28.945221
a-77	-3.475384	-10.426151
a-78	-3.226258	-12.905033
a-79	-3.584466	-14.337864
a-8	-2.353156	-18.825247
a-80	-2.897575	-20.283028
a-81	-2.942760	-8.828279
a-82	-2.915314	-58.306278
a-83	-3.265383	-6.530766
a-84	-3.572767	-14.291069
a-85	-2.686288	-10.745152
a-86	-3.259905	-39.118858
a-87	-3.130504	-25.044033
a-88	-3.033284	-12.133135
a-89	-2.822904	-11.291617
a-9	-3.485181	-20.911087
a-90	-3.183360	-12.733440
a-91	-2.942775	-8.828324
a-92	-2.916938	-17.501625
a-93	-3.565841	-14.263365
a-94	-3.446435	-20.678610
a-95	-3.265326	-6.530652
a-96	-2.565382	-10.261530
a-97	-3.470751	-20.824509
a-98	-3.409923	-10.229769
a-99	-3.569589	-49.974247
gen-1-0	-2.963884	-17.783306
gen-1-1	-3.245769	-38.949230
gen-1-10	-2.965158	-26.686422
gen-1-100	-2.903929	-29.039291
gen-1-101	-2.960939	-35.531269
gen-1-102	-3.480123	-52.201851
gen-1-103	-3.257503	-65.150063
gen-1-104	-3.258872	-39.106464
gen-1-105	-2.966828	-17.800970
gen-1-106	-1.903729	-5.711186
gen-1-107	-3.265081	-6.530162
gen-1-108	-3.275080	-19.650482
gen-1-109	-2.954825	-53.186855
gen-1-11	-3.102671	-37.232048
gen-1-110	-2.983666	-41.771320
gen-1-111	-2.538354	-30.460251
gen-1-112	-3.069805	-30.698048
gen-1-113	-3.076493	-61.529854
gen-1-114	-2.776374	-33.316483
gen-1-115	-3.478484	-62.612717
gen-1-116	-3.048729	-54.877121
gen-1-117	-3.492157	-41.905884
gen-1-118	-2.948158	-53.066841
gen-1-119	-2.971462	-17.828772
gen-1-12	-3.466056	-69.321121
gen-1-120	-3.266284	-19.597706
gen-1-121	-3.047055	-54.846996
gen-1-122	-3.539316	-35.393162
gen-1-123	-2.971392	-8.914175
gen-1-124	-3.224441	-25.795528
gen-1-125	-2.823004	-22.584036
gen-1-126	-3.334110	-60.013973
gen-1-127	-2.969223	-35.630680
gen-1-128	-3.098715	-37.184586
gen-1-129	-1.903318	-7.613273
gen-1-13	-2.948349	-35.380188
gen-1-130	-3.008509	-33.093597
gen-1-131	-3.079799	-30.797993
gen-1-132	-2.948306	-26.534758
gen-1-133	-3.485053	-20.910320
gen-1-134	-3.258788	-32.587879
gen-1-135	-2.563798	-28.201782
gen-1-136	-2.963412	-26.670712
gen-1-137	-2.390976	-35.864635
gen-1-138	-2.954684	-35.456207
gen-1-139	-3.261222	-32.612221
gen-1-14	-3.004632	-33.050953
gen-1-140	-3.326109	-66.522186
gen-1-141	-2.527307	-15.163843
gen-1-142	-2.748945	-49.481003
gen-1-143	-2.601530	-41.624477
gen-1-144	-3.030591	-24.244724
gen-1-145	-2.942503	-26.482529
gen-1-146	-3.079970	-30.799698
gen-1-147	-3.384447	-67.688934
gen-1-148	-2.970946	-17.825676
gen-1-149	-2.862085	-40.069187
gen-1-15	-2.362490	-37.799835
gen-1-150	-2.536860	-45.663479
